cell,tag,env,engine,l_min,tau,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,3,emmax,3,0.4,19,15,12,0.505263157894737,17,13,0.523219814241486
V0.5_c1,bgs,3,emmax,3,0.5,19,15,12,0.505263157894737,16,13,0.555921052631579
V0.5_c1,bgs,3,emmax,3,0.7,19,15,12,0.505263157894737,14,12,0.541353383458647
V0.5_c1,bgs,3,emmax,5,0.01,19,13,11,0.489878542510122,28,15,0.422932330827068
V0.5_c1,bgs,3,emmax,5,0.02,19,13,11,0.489878542510122,27,15,0.43859649122807
V0.5_c1,bgs,3,emmax,5,0.05,19,13,11,0.489878542510122,24,14,0.429824561403509
V0.5_c1,bgs,3,emmax,5,0.1,19,13,11,0.489878542510122,21,13,0.423558897243108
V0.5_c1,bgs,3,emmax,5,0.15,19,13,11,0.489878542510122,20,13,0.444736842105263
V0.5_c1,bgs,3,emmax,5,0.2,19,13,11,0.489878542510122,17,13,0.523219814241486
V0.5_c1,bgs,3,emmax,5,0.3,19,13,11,0.489878542510122,16,12,0.473684210526316
V0.5_c1,bgs,3,emmax,5,0.4,19,13,11,0.489878542510122,15,12,0.505263157894737
V0.5_c1,bgs,3,emmax,5,0.5,19,13,11,0.489878542510122,14,12,0.541353383458647
V0.5_c1,bgs,3,emmax,5,0.7,19,13,11,0.489878542510122,13,11,0.489878542510122
V0.5_c1,bgs,3,emmax,10,0.01,19,13,11,0.489878542510122,19,13,0.46814404432133
V0.5_c1,bgs,3,emmax,10,0.02,19,13,11,0.489878542510122,20,13,0.444736842105263
V0.5_c1,bgs,3,emmax,10,0.05,19,13,11,0.489878542510122,17,12,0.445820433436533
V0.5_c1,bgs,3,emmax,10,0.1,19,13,11,0.489878542510122,16,12,0.473684210526316
V0.5_c1,bgs,3,emmax,10,0.15,19,13,11,0.489878542510122,15,12,0.505263157894737
V0.5_c1,bgs,3,emmax,10,0.2,19,13,11,0.489878542510122,14,12,0.541353383458647
V0.5_c1,bgs,3,emmax,10,0.3,19,13,11,0.489878542510122,13,11,0.489878542510122
V0.5_c1,bgs,3,emmax,10,0.4,19,13,11,0.489878542510122,13,11,0.489878542510122
V0.5_c1,bgs,3,emmax,10,0.5,19,13,11,0.489878542510122,13,11,0.489878542510122
V0.5_c1,bgs,3,emmax,10,0.7,19,13,11,0.489878542510122,13,11,0.489878542510122
V0.5_c1,bgs,3,lfmm,2,0.01,19,27,15,0.43859649122807,53,16,0.254220456802383
V0.5_c1,bgs,3,lfmm,2,0.02,19,27,15,0.43859649122807,47,16,0.286674132138858
V0.5_c1,bgs,3,lfmm,2,0.05,19,27,15,0.43859649122807,46,16,0.292906178489703
V0.5_c1,bgs,3,lfmm,2,0.1,19,27,15,0.43859649122807,40,16,0.336842105263158
V0.5_c1,bgs,3,lfmm,2,0.15,19,27,15,0.43859649122807,33,16,0.40829346092504
V0.5_c1,bgs,3,lfmm,2,0.2,19,27,15,0.43859649122807,33,16,0.40829346092504
V0.5_c1,bgs,3,lfmm,2,0.3,19,27,15,0.43859649122807,31,16,0.434634974533107
V0.5_c1,bgs,3,lfmm,2,0.4,19,27,15,0.43859649122807,30,15,0.394736842105263
V0.5_c1,bgs,3,lfmm,2,0.5,19,27,15,0.43859649122807,27,15,0.43859649122807
V0.5_c1,bgs,3,lfmm,2,0.7,19,27,15,0.43859649122807,23,15,0.51487414187643
V0.5_c1,bgs,3,lfmm,3,0.01,19,24,14,0.429824561403509,42,16,0.320802005012531
V0.5_c1,bgs,3,lfmm,3,0.02,19,24,14,0.429824561403509,38,16,0.354570637119114
V0.5_c1,bgs,3,lfmm,3,0.05,19,24,14,0.429824561403509,36,16,0.374269005847953
V0.5_c1,bgs,3,lfmm,3,0.1,19,24,14,0.429824561403509,32,16,0.421052631578947
V0.5_c1,bgs,3,lfmm,3,0.15,19,24,14,0.429824561403509,30,16,0.449122807017544
V0.5_c1,bgs,3,lfmm,3,0.2,19,24,14,0.429824561403509,29,16,0.464609800362976
V0.5_c1,bgs,3,lfmm,3,0.3,19,24,14,0.429824561403509,28,16,0.481203007518797
V0.5_c1,bgs,3,lfmm,3,0.4,19,24,14,0.429824561403509,25,14,0.412631578947368
V0.5_c1,bgs,3,lfmm,3,0.5,19,24,14,0.429824561403509,23,14,0.448512585812357
V0.5_c1,bgs,3,lfmm,3,0.7,19,24,14,0.429824561403509,19,13,0.46814404432133
