cell,tag,env,engine,rho_ld,l_min,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,4,lfmm,0.99,2,15,11,10,0.606060606060606,16,11,0.504166666666667
V0.5_c1,bgs,4,lfmm,0.99,3,15,10,9,0.54,13,10,0.512820512820513
V0.5_c1,bgs,4,lfmm,0.99,5,15,9,8,0.474074074074074,12,10,0.555555555555556
V0.5_c1,bgs,4,lfmm,0.99,10,15,6,6,0.4,8,8,0.533333333333333
V0.5_c1,bgs,5,emmax,0.5,2,14,21,10,0.340136054421769,31,11,0.278801843317972
V0.5_c1,bgs,5,emmax,0.5,3,14,17,10,0.420168067226891,25,11,0.345714285714286
V0.5_c1,bgs,5,emmax,0.5,5,14,12,7,0.291666666666667,20,11,0.432142857142857
V0.5_c1,bgs,5,emmax,0.5,10,14,9,7,0.388888888888889,15,10,0.476190476190476
V0.5_c1,bgs,5,lfmm,0.5,2,14,16,11,0.540178571428571,28,11,0.308673469387755
V0.5_c1,bgs,5,lfmm,0.5,3,14,16,11,0.540178571428571,24,11,0.360119047619048
V0.5_c1,bgs,5,lfmm,0.5,5,14,16,11,0.540178571428571,21,11,0.41156462585034
V0.5_c1,bgs,5,lfmm,0.5,10,14,12,10,0.595238095238095,17,10,0.420168067226891
V0.5_c1,bgs,5,emmax,0.6,2,14,20,10,0.357142857142857,29,11,0.298029556650246
V0.5_c1,bgs,5,emmax,0.6,3,14,17,10,0.420168067226891,23,11,0.375776397515528
V0.5_c1,bgs,5,emmax,0.6,5,14,12,7,0.291666666666667,20,11,0.432142857142857
V0.5_c1,bgs,5,emmax,0.6,10,14,9,7,0.388888888888889,16,10,0.446428571428571
V0.5_c1,bgs,5,lfmm,0.6,2,14,15,11,0.576190476190476,25,11,0.345714285714286
V0.5_c1,bgs,5,lfmm,0.6,3,14,15,11,0.576190476190476,21,11,0.41156462585034
V0.5_c1,bgs,5,lfmm,0.6,5,14,15,11,0.576190476190476,17,11,0.508403361344538
V0.5_c1,bgs,5,lfmm,0.6,10,14,13,11,0.664835164835165,16,11,0.540178571428571
V0.5_c1,bgs,5,emmax,0.75,2,14,20,10,0.357142857142857,30,11,0.288095238095238
V0.5_c1,bgs,5,emmax,0.75,3,14,17,10,0.420168067226891,23,11,0.375776397515528
V0.5_c1,bgs,5,emmax,0.75,5,14,12,7,0.291666666666667,20,11,0.432142857142857
V0.5_c1,bgs,5,emmax,0.75,10,14,9,7,0.388888888888889,16,10,0.446428571428571
V0.5_c1,bgs,5,lfmm,0.75,2,14,13,11,0.664835164835165,23,11,0.375776397515528
V0.5_c1,bgs,5,lfmm,0.75,3,14,13,11,0.664835164835165,20,11,0.432142857142857
V0.5_c1,bgs,5,lfmm,0.75,5,14,13,11,0.664835164835165,17,11,0.508403361344538
V0.5_c1,bgs,5,lfmm,0.75,10,14,12,11,0.720238095238095,16,11,0.540178571428571
V0.5_c1,bgs,5,emmax,0.85,2,14,20,10,0.357142857142857,29,11,0.298029556650246
V0.5_c1,bgs,5,emmax,0.85,3,14,17,10,0.420168067226891,23,11,0.375776397515528
V0.5_c1,bgs,5,emmax,0.85,5,14,12,7,0.291666666666667,20,11,0.432142857142857
V0.5_c1,bgs,5,emmax,0.85,10,14,9,7,0.388888888888889,16,10,0.446428571428571
V0.5_c1,bgs,5,lfmm,0.85,2,14,13,11,0.664835164835165,23,11,0.375776397515528
V0.5_c1,bgs,5,lfmm,0.85,3,14,13,11,0.664835164835165,20,11,0.432142857142857
V0.5_c1,bgs,5,lfmm,0.85,5,14,13,11,0.664835164835165,17,11,0.508403361344538
V0.5_c1,bgs,5,lfmm,0.85,10,14,12,11,0.720238095238095,16,11,0.540178571428571
V0.5_c1,bgs,5,emmax,0.9,2,14,20,10,0.357142857142857,31,11,0.278801843317972
V0.5_c1,bgs,5,emmax,0.9,3,14,17,10,0.420168067226891,23,11,0.375776397515528
V0.5_c1,bgs,5,emmax,0.9,5,14,12,7,0.291666666666667,20,11,0.432142857142857
V0.5_c1,bgs,5,emmax,0.9,10,14,9,7,0.388888888888889,16,10,0.446428571428571
V0.5_c1,bgs,5,lfmm,0.9,2,14,13,11,0.664835164835165,23,11,0.375776397515528
V0.5_c1,bgs,5,lfmm,0.9,3,14,13,11,0.664835164835165,20,11,0.432142857142857
V0.5_c1,bgs,5,lfmm,0.9,5,14,13,11,0.664835164835165,17,11,0.508403361344538
V0.5_c1,bgs,5,lfmm,0.9,10,14,12,11,0.720238095238095,16,11,0.540178571428571
V0.5_c1,bgs,5,emmax,0.95,2,14,20,10,0.357142857142857,31,11,0.278801843317972
V0.5_c1,bgs,5,emmax,0.95,3,14,17,10,0.420168067226891,23,11,0.375776397515528
V0.5_c1,bgs,5,emmax,0.95,5,14,12,7,0.291666666666667,20,11,0.432142857142857
V0.5_c1,bgs,5,emmax,0.95,10,14,9,7,0.388888888888889,16,10,0.446428571428571
V0.5_c1,bgs,5,lfmm,0.95,2,14,13,11,0.664835164835165,23,11,0.375776397515528
V0.5_c1,bgs,5,lfmm,0.95,3,14,13,11,0.664835164835165,20,11,0.432142857142857
V0.5_c1,bgs,5,lfmm,0.95,5,14,13,11,0.664835164835165,17,11,0.508403361344538
V0.5_c1,bgs,5,lfmm,0.95,10,14,12,11,0.720238095238095,16,11,0.540178571428571
