cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V0.5_c1,nobgs,9,lfmm,10,19,20,11,0.219298245614035,0.404858299595142,13,0.37593984962406,14,10,10
V0.5_c1,nobgs,10,emmax,2,21,20,11,0.110741971207087,0.0779220779220779,88,0.0737327188940092,93,12,12
V0.5_c1,nobgs,10,emmax,3,21,20,11,0.133004926108374,0.108715184186882,53,0.0993431855500821,58,11,11
V0.5_c1,nobgs,10,emmax,5,21,20,11,0.203007518796992,0.0896358543417367,34,0.0870748299319728,35,8,8
V0.5_c1,nobgs,10,emmax,10,21,20,11,0.179487179487179,0.12280701754386,19,0.12280701754386,19,7,7
V0.5_c1,nobgs,10,lfmm,2,21,20,11,0.096031746031746,0.0535714285714286,128,0.0511727078891258,134,12,12
V0.5_c1,nobgs,10,lfmm,3,21,20,11,0.140534262485482,0.0753532182103611,91,0.0692640692640693,99,12,12
V0.5_c1,nobgs,10,lfmm,5,21,20,11,0.198412698412698,0.0976594027441485,59,0.0976594027441485,59,11,11
V0.5_c1,nobgs,10,lfmm,10,21,20,11,0.19047619047619,0.122100122100122,39,0.12531328320802,38,10,10
V1_c1.5,bgs,1,emmax,2,23,20,11,0.0062111801242236,0.0364004044489383,43,0.0319432120674357,49,6,6
V1_c1.5,bgs,1,emmax,3,23,20,11,0.0072463768115942,0.0539730134932534,29,0.0474308300395257,33,6,6
V1_c1.5,bgs,1,emmax,5,23,20,11,0.0108695652173913,0.0711462450592885,22,0.0626086956521739,25,6,6
V1_c1.5,bgs,1,emmax,10,23,20,11,0.0217391304347826,0.0836120401337793,13,0.0679347826086957,16,5,5
V1_c1.5,bgs,1,lfmm,2,23,20,11,0.00966183574879227,0.0504908835904628,31,0.0489130434782609,32,6,6
V1_c1.5,bgs,1,lfmm,3,23,20,11,0.0036231884057971,0.0452898550724638,24,0.0472589792060492,23,5,5
V1_c1.5,bgs,1,lfmm,5,23,20,11,0.00483091787439614,0.0603864734299517,18,0.0603864734299517,18,5,5
V1_c1.5,bgs,1,lfmm,10,23,20,11,0.0217391304347826,0.0988142292490119,11,0.0988142292490119,11,5,5
V1_c1.5,bgs,2,emmax,2,25,20,11,0.00553846153846154,0.0225,144,0.0214569536423841,151,9,9
V1_c1.5,bgs,2,emmax,3,25,20,11,0.00857142857142857,0.0311538461538462,104,0.0297247706422018,109,9,9
V1_c1.5,bgs,2,emmax,5,25,20,11,0.00173913043478261,0.0228571428571429,63,0.0221538461538462,65,6,6
V1_c1.5,bgs,2,emmax,10,25,20,11,0.005,0.0344827586206897,29,0.032258064516129,31,5,5
V1_c1.5,bgs,2,lfmm,2,25,20,11,0.0216,0.0180995475113122,221,0.0172413793103448,232,10,10
V1_c1.5,bgs,2,lfmm,3,25,20,11,0.0308571428571429,0.0264900662251656,151,0.0245398773006135,163,10,10
V1_c1.5,bgs,2,lfmm,5,25,20,11,0.0149253731343284,0.016,90,0.0194059405940594,101,6,7
V1_c1.5,bgs,2,lfmm,10,25,20,11,0.0124137931034483,0.0164102564102564,39,0.016,40,4,4
V1_c1.5,bgs,3,emmax,2,27,20,11,0,0,10,0,16,0,0
V1_c1.5,bgs,3,emmax,3,27,20,11,0,0,6,0,9,0,0
V1_c1.5,bgs,3,emmax,5,27,20,11,0,0,5,0,7,0,0
V1_c1.5,bgs,3,emmax,10,27,20,11,0,0,1,0,1,0,0
V1_c1.5,bgs,3,lfmm,2,27,20,11,0,0.00411522633744856,81,0.00387596899224806,86,3,3
V1_c1.5,bgs,3,lfmm,3,27,20,11,0,0.00308641975308642,48,0.00284900284900285,52,2,2
V1_c1.5,bgs,3,lfmm,5,27,20,11,0,0.00435729847494553,34,0.00389863547758285,38,2,2
V1_c1.5,bgs,3,lfmm,10,27,20,11,0,0.00284900284900285,13,0.00246913580246914,15,1,1
V1_c1.5,bgs,4,emmax,2,23,20,11,0,0.0108695652173913,4,0.0108695652173913,4,1,1
V1_c1.5,bgs,4,emmax,3,23,20,11,0,0.0108695652173913,4,0.0144927536231884,3,1,1
V1_c1.5,bgs,4,emmax,5,23,20,11,0,0.0144927536231884,3,0.0144927536231884,3,1,1
V1_c1.5,bgs,4,emmax,10,23,20,11,0,0.0217391304347826,2,0.0217391304347826,2,1,1
V1_c1.5,bgs,4,lfmm,2,23,20,11,0.0072463768115942,0.00197628458498024,22,0.00527009222661397,33,1,2
V1_c1.5,bgs,4,lfmm,3,23,20,11,0,0.0022883295194508,19,0.00668896321070234,26,1,2
V1_c1.5,bgs,4,lfmm,5,23,20,11,0,0,11,0.00255754475703325,17,0,1
V1_c1.5,bgs,4,lfmm,10,23,20,11,0,0,3,0.0072463768115942,6,0,1
V1_c1.5,bgs,5,emmax,2,22,20,11,0,0.0173160173160173,42,0.0154738878143133,47,4,4
V1_c1.5,bgs,5,emmax,3,22,20,11,0,0.0127840909090909,32,0.012396694214876,33,3,3
V1_c1.5,bgs,5,emmax,5,22,20,11,0,0.0177865612648221,23,0.0170454545454545,24,3,3
V1_c1.5,bgs,5,emmax,10,22,20,11,0,0.0227272727272727,8,0.0165289256198347,11,2,2
V1_c1.5,bgs,5,lfmm,2,22,20,11,0.0101010101010101,0.0543237250554324,41,0.0517970401691332,43,7,7
V1_c1.5,bgs,5,lfmm,3,22,20,11,0.0165289256198347,0.0564263322884013,29,0.0545454545454545,30,6,6
V1_c1.5,bgs,5,lfmm,5,22,20,11,0.0303030303030303,0.0861244019138756,19,0.0861244019138756,19,6,6
V1_c1.5,bgs,5,lfmm,10,22,20,11,0.0454545454545455,0.0727272727272727,10,0.0727272727272727,10,4,4
V1_c1.5,bgs,6,emmax,2,20,20,11,0.00671641791044776,0.00747663551401869,107,0.00720720720720721,111,4,4
V1_c1.5,bgs,6,emmax,3,20,20,11,0.009,0.0111111111111111,72,0.0105263157894737,76,4,4
V1_c1.5,bgs,6,emmax,5,20,20,11,0.0128571428571429,0.009375,48,0.00918367346938775,49,3,3
V1_c1.5,bgs,6,emmax,10,20,20,11,0.00357142857142857,0.00909090909090909,22,0.00833333333333333,24,2,2
V1_c1.5,bgs,6,lfmm,2,20,20,11,0.0135359116022099,0.0126482213438735,253,0.0122137404580153,262,8,8
V1_c1.5,bgs,6,lfmm,3,20,20,11,0.0133333333333333,0.0134615384615385,182,0.012962962962963,189,7,7
V1_c1.5,bgs,6,lfmm,5,20,20,11,0.0197802197802198,0.0200819672131148,122,0.0196,125,7,7
V1_c1.5,bgs,6,lfmm,10,20,20,11,0.0297619047619048,0.0295081967213115,61,0.03828125,64,6,7
V1_c1.5,bgs,7,emmax,2,23,20,11,0.00543478260869565,0.0926773455377574,38,0.0838509316770186,42,9,9
