null,tau,lmin,obs,nullreg,fdr
regional perm.,0.24,15,0,0.01,0.01
regional perm.,0.24,20,0,0.01,0.01
regional perm.,0.26,1,21,2.82,0.134285714285714
regional perm.,0.26,2,8,0.86,0.1075
regional perm.,0.26,3,3,0.42,0.14
regional perm.,0.26,5,2,0.13,0.065
regional perm.,0.26,10,1,0.02,0.02
regional perm.,0.26,15,0,0.01,0.01
regional perm.,0.26,20,0,0.01,0.01
regional perm.,0.28,1,20,2.64,0.132
regional perm.,0.28,2,8,0.83,0.10375
regional perm.,0.28,3,2,0.42,0.21
regional perm.,0.28,5,2,0.13,0.065
regional perm.,0.28,10,1,0.02,0.02
regional perm.,0.28,15,0,0.01,0.01
regional perm.,0.28,20,0,0.01,0.01
regional perm.,0.3,1,18,2.54,0.141111111111111
regional perm.,0.3,2,8,0.8,0.1
regional perm.,0.3,3,2,0.41,0.205
regional perm.,0.3,5,1,0.12,0.12
regional perm.,0.3,10,0,0.02,0.02
regional perm.,0.3,15,0,0.01,0.01
regional perm.,0.3,20,0,0.01,0.01
regional perm.,0.32,1,17,2.5,0.147058823529412
regional perm.,0.32,2,8,0.77,0.09625
regional perm.,0.32,3,2,0.4,0.2
regional perm.,0.32,5,1,0.12,0.12
regional perm.,0.32,10,0,0.02,0.02
regional perm.,0.32,15,0,0.01,0.01
regional perm.,0.32,20,0,0.01,0.01
regional perm.,0.34,1,16,2.44,0.1525
regional perm.,0.34,2,7,0.73,0.104285714285714
regional perm.,0.34,3,2,0.39,0.195
regional perm.,0.34,5,1,0.12,0.12
regional perm.,0.34,10,0,0.02,0.02
regional perm.,0.34,15,0,0.01,0.01
regional perm.,0.34,20,0,0.01,0.01
regional perm.,0.36,1,14,2.31,0.165
regional perm.,0.36,2,6,0.71,0.118333333333333
regional perm.,0.36,3,2,0.38,0.19
regional perm.,0.36,5,1,0.1,0.1
regional perm.,0.36,10,0,0.02,0.02
regional perm.,0.36,15,0,0.01,0.01
regional perm.,0.36,20,0,0.01,0.01
regional perm.,0.38,1,12,2.19,0.1825
regional perm.,0.38,2,6,0.66,0.11
regional perm.,0.38,3,2,0.38,0.19
regional perm.,0.38,5,1,0.1,0.1
regional perm.,0.38,10,0,0.02,0.02
regional perm.,0.38,15,0,0.01,0.01
regional perm.,0.38,20,0,0.01,0.01
regional perm.,0.4,1,12,2.12,0.176666666666667
regional perm.,0.4,2,5,0.62,0.124
regional perm.,0.4,3,2,0.34,0.17
regional perm.,0.4,5,1,0.09,0.09
regional perm.,0.4,10,0,0.02,0.02
regional perm.,0.4,15,0,0.01,0.01
regional perm.,0.4,20,0,0.01,0.01
regional perm.,0.42,1,11,1.98,0.18
regional perm.,0.42,2,5,0.6,0.12
regional perm.,0.42,3,2,0.32,0.16
regional perm.,0.42,5,1,0.09,0.09
regional perm.,0.42,10,0,0.01,0.01
regional perm.,0.42,15,0,0.01,0.01
regional perm.,0.42,20,0,0.01,0.01
regional perm.,0.44,1,10,1.87,0.187
regional perm.,0.44,2,5,0.55,0.11
regional perm.,0.44,3,2,0.29,0.145
regional perm.,0.44,5,1,0.08,0.08
regional perm.,0.44,10,0,0.01,0.01
regional perm.,0.44,15,0,0.01,0.01
regional perm.,0.44,20,0,0.01,0.01
regional perm.,0.46,1,10,1.79,0.179
regional perm.,0.46,2,4,0.53,0.1325
regional perm.,0.46,3,2,0.28,0.14
regional perm.,0.46,5,1,0.08,0.08
regional perm.,0.46,10,0,0.01,0.01
regional perm.,0.46,15,0,0.01,0.01
regional perm.,0.46,20,0,0.01,0.01
regional perm.,0.48,1,9,1.69,0.187777777777778
regional perm.,0.48,2,3,0.52,0.173333333333333
regional perm.,0.48,3,2,0.28,0.14
regional perm.,0.48,5,1,0.08,0.08
regional perm.,0.48,10,0,0.01,0.01
regional perm.,0.48,15,0,0.01,0.01
regional perm.,0.48,20,0,0.01,0.01
regional perm.,0.5,1,8,1.56,0.195
regional perm.,0.5,2,3,0.5,0.166666666666667
regional perm.,0.5,3,1,0.28,0.28
regional perm.,0.5,5,0,0.08,0.08
regional perm.,0.5,10,0,0.01,0.01
regional perm.,0.5,15,0,0.01,0.01
regional perm.,0.5,20,0,0.01,0.01
spatial (MVN kernel),0.02,1,134,244.57,1
spatial (MVN kernel),0.02,2,61,76.23,1
spatial (MVN kernel),0.02,3,39,38.62,0.99025641025641
spatial (MVN kernel),0.02,5,16,19.14,1
spatial (MVN kernel),0.02,10,8,8.67,1
spatial (MVN kernel),0.02,15,6,5.69,0.948333333333333
spatial (MVN kernel),0.02,20,5,4.58,0.916
spatial (MVN kernel),0.04,1,82,190.52,1
spatial (MVN kernel),0.04,2,27,57.37,1
spatial (MVN kernel),0.04,3,19,28.74,1
spatial (MVN kernel),0.04,5,9,14.51,1
spatial (MVN kernel),0.04,10,4,6.47,1
spatial (MVN kernel),0.04,15,3,4.59,1
spatial (MVN kernel),0.04,20,3,3.59,1
spatial (MVN kernel),0.06,1,55,163.89,1
spatial (MVN kernel),0.06,2,16,48.98,1
spatial (MVN kernel),0.06,3,13,25.01,1
spatial (MVN kernel),0.06,5,8,12.77,1
spatial (MVN kernel),0.06,10,3,5.77,1
spatial (MVN kernel),0.06,15,3,4.16,1
spatial (MVN kernel),0.06,20,3,3.28,1
spatial (MVN kernel),0.08,1,42,146.23,1
spatial (MVN kernel),0.08,2,13,43.28,1
spatial (MVN kernel),0.08,3,8,22.32,1
spatial (MVN kernel),0.08,5,3,11.21,1
spatial (MVN kernel),0.08,10,3,5.13,1
spatial (MVN kernel),0.08,15,1,3.88,1
spatial (MVN kernel),0.08,20,1,3,1
spatial (MVN kernel),0.1,1,35,133.93,1
spatial (MVN kernel),0.1,2,12,39.35,1
spatial (MVN kernel),0.1,3,8,20.3,1
spatial (MVN kernel),0.1,5,3,10.4,1
spatial (MVN kernel),0.1,10,2,4.64,1
spatial (MVN kernel),0.1,15,1,3.58,1
spatial (MVN kernel),0.1,20,1,2.87,1
spatial (MVN kernel),0.12,1,34,122.07,1
spatial (MVN kernel),0.12,2,12,35.81,1
spatial (MVN kernel),0.12,3,7,18.5,1
spatial (MVN kernel),0.12,5,3,9.48,1
spatial (MVN kernel),0.12,10,2,4.34,1
spatial (MVN kernel),0.12,15,1,3.39,1
spatial (MVN kernel),0.12,20,1,2.69,1
spatial (MVN kernel),0.14,1,30,114.45,1
spatial (MVN kernel),0.14,2,11,33.31,1
spatial (MVN kernel),0.14,3,6,17.33,1
spatial (MVN kernel),0.14,5,2,8.92,1
spatial (MVN kernel),0.14,10,1,4.14,1
spatial (MVN kernel),0.14,15,1,3.27,1
spatial (MVN kernel),0.14,20,1,2.63,1
spatial (MVN kernel),0.16,1,25,106.76,1
spatial (MVN kernel),0.16,2,10,31.05,1
spatial (MVN kernel),0.16,3,6,16.14,1
spatial (MVN kernel),0.16,5,2,8.3,1
spatial (MVN kernel),0.16,10,1,4.05,1
spatial (MVN kernel),0.16,15,1,3.15,1
spatial (MVN kernel),0.16,20,1,2.5,1
spatial (MVN kernel),0.18,1,25,100.88,1
spatial (MVN kernel),0.18,2,9,29.21,1
spatial (MVN kernel),0.18,3,5,15.24,1
spatial (MVN kernel),0.18,5,2,7.83,1
spatial (MVN kernel),0.18,10,1,3.94,1
spatial (MVN kernel),0.18,15,1,3,1
spatial (MVN kernel),0.18,20,1,2.41,1
spatial (MVN kernel),0.2,1,23,94.75,1
spatial (MVN kernel),0.2,2,9,27.48,1
spatial (MVN kernel),0.2,3,4,14.36,1
spatial (MVN kernel),0.2,5,2,7.49,1
spatial (MVN kernel),0.2,10,1,3.85,1
spatial (MVN kernel),0.2,15,1,2.84,1
spatial (MVN kernel),0.2,20,1,2.32,1
spatial (MVN kernel),0.22,1,23,89.32,1
spatial (MVN kernel),0.22,2,9,26.04,1
spatial (MVN kernel),0.22,3,4,13.65,1
spatial (MVN kernel),0.22,5,2,7.13,1
spatial (MVN kernel),0.22,10,1,3.68,1
spatial (MVN kernel),0.22,15,1,2.73,1
spatial (MVN kernel),0.22,20,0,2.25,1
spatial (MVN kernel),0.24,1,22,83.85,1
spatial (MVN kernel),0.24,2,9,24.7,1
