arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
single SNP,V1_c1.5,bgs,7,262598,12,2,0.166666666666667,0.130434782608696,4,0.654901960784314,23
consensus (no n penalty),V1_c1.5,bgs,7,75818,5,1,0.2,0.0434782608695652,1,0.392941176470588,23
cluster-then-test,V1_c1.5,bgs,8,76555,21,5,0.238095238095238,0.238095238095238,5,0.464344549660696,21
test-then-cluster,V1_c1.5,bgs,8,81291,32,5,0.15625,0.238095238095238,8,0.487561777143731,21
single SNP,V1_c1.5,bgs,8,264339,91,7,0.0769230769230769,0.333333333333333,40,0.821156677294704,21
consensus (no n penalty),V1_c1.5,bgs,8,76555,25,5,0.2,0.238095238095238,10,0.780098843429969,21
cluster-then-test,V1_c1.5,bgs,9,75852,0,0,0,0,0,0,30
test-then-cluster,V1_c1.5,bgs,9,81199,0,0,0,0,0,0,30
single SNP,V1_c1.5,bgs,9,265610,0,0,0,0,0,0,30
consensus (no n penalty),V1_c1.5,bgs,9,75852,0,0,0,0,0,0,30
cluster-then-test,V1_c1.5,bgs,10,77195,3,2,0.666666666666667,0.105263157894737,0,0,19
test-then-cluster,V1_c1.5,bgs,10,82226,4,2,0.5,0.105263157894737,1,0.495093637762955,19
single SNP,V1_c1.5,bgs,10,266333,35,3,0.0857142857142857,0.157894736842105,20,1.13164260060104,19
consensus (no n penalty),V1_c1.5,bgs,10,77195,4,1,0.25,0.0526315789473684,2,0.990187275525911,19
cluster-then-test,V2_c1,bgs,1,87767,4,2,0.5,0.166666666666667,0,0,12
test-then-cluster,V2_c1,bgs,1,88151,4,2,0.5,0.166666666666667,0,0,12
single SNP,V2_c1,bgs,1,231486,12,4,0.333333333333333,0.333333333333333,2,0.301539011246687,12
consensus (no n penalty),V2_c1,bgs,1,87767,4,2,0.5,0.166666666666667,0,0,12
cluster-then-test,V2_c1,bgs,2,87586,18,5,0.277777777777778,0.384615384615385,5,0.541388202773636,13
test-then-cluster,V2_c1,bgs,2,88004,20,5,0.25,0.384615384615385,6,0.584699258995527,13
single SNP,V2_c1,bgs,2,233274,50,6,0.12,0.461538461538462,19,0.740619061394335,13
consensus (no n penalty),V2_c1,bgs,2,87586,17,3,0.176470588235294,0.230769230769231,6,0.687881481171209,13
cluster-then-test,V2_c1,bgs,3,87551,6,4,0.666666666666667,0.357142857142857,0,0,14
test-then-cluster,V2_c1,bgs,3,87937,6,4,0.666666666666667,0.357142857142857,0,0,14
single SNP,V2_c1,bgs,3,235796,12,6,0.5,0.5,3,0.451669429559978,14
consensus (no n penalty),V2_c1,bgs,3,87551,4,3,0.75,0.214285714285714,0,0,14
cluster-then-test,V2_c1,bgs,4,87266,1,1,1,0.1,0,0,10
test-then-cluster,V2_c1,bgs,4,87687,1,1,1,0.1,0,0,10
single SNP,V2_c1,bgs,4,234231,6,5,0.833333333333333,0.5,0,0,10
consensus (no n penalty),V2_c1,bgs,4,87266,4,4,1,0.4,0,0,10
cluster-then-test,V2_c1,bgs,5,86617,1,1,1,0.111111111111111,0,0,9
test-then-cluster,V2_c1,bgs,5,86997,1,1,1,0.111111111111111,0,0,9
single SNP,V2_c1,bgs,5,229858,3,3,1,0.333333333333333,0,0,9
consensus (no n penalty),V2_c1,bgs,5,86617,2,2,1,0.222222222222222,0,0,9
cluster-then-test,V2_c1,bgs,6,88045,18,3,0.166666666666667,0.25,4,0.437209348518593,12
test-then-cluster,V2_c1,bgs,6,88442,18,3,0.166666666666667,0.25,4,0.437209348518593,12
single SNP,V2_c1,bgs,6,234855,40,4,0.1,0.333333333333333,13,0.639418672208442,12
consensus (no n penalty),V2_c1,bgs,6,88045,21,3,0.142857142857143,0.25,6,0.562126305238191,12
cluster-then-test,V2_c1,bgs,7,87487,3,3,1,0.2,0,0,15
test-then-cluster,V2_c1,bgs,7,87892,6,4,0.666666666666667,0.266666666666667,1,0.326383137474352,15
single SNP,V2_c1,bgs,7,233384,24,6,0.25,0.4,4,0.301276742284017,15
consensus (no n penalty),V2_c1,bgs,7,87487,7,4,0.571428571428571,0.266666666666667,1,0.279756974978016,15
