cell,tag,env,dcap,n_units,regions,precision,recall,med_span_kb,max_span_Mb,widest_q_precision,pct_over_1Mb,n_qtn
V2_c1,nobgs,5,30000,104827,1,1,0.0714285714285714,23.03,0.040502,0.5,0,14
V2_c1,nobgs,5,1e+05,104714,1,1,0.0714285714285714,23.03,0.040502,0.5,0,14
V2_c1,nobgs,5,3e+05,104594,1,1,0.0714285714285714,23.03,0.040502,0.5,0,14
V2_c1,bgs,1,10000,87954,5,0.4,0.166666666666667,42.893,1.047871,0,14.2857142857143,12
V2_c1,bgs,1,30000,87887,5,0.4,0.166666666666667,33.8285,1.047871,0.5,16.6666666666667,12
V2_c1,bgs,1,1e+05,87767,4,0.5,0.166666666666667,0,1.70932,1,20,12
V2_c1,bgs,1,3e+05,87721,3,0.333333333333333,0.0833333333333333,33.8285,1.70932,0.25,25,12
V2_c1,bgs,2,10000,87777,20,0.25,0.384615384615385,38.652,0.987385,0.5,0,13
V2_c1,bgs,2,30000,87671,19,0.263157894736842,0.384615384615385,35.119,0.987385,0.5,0,13
V2_c1,bgs,2,1e+05,87586,18,0.277777777777778,0.384615384615385,28.4785,1.089386,0.5,5.55555555555556,13
V2_c1,bgs,2,3e+05,87518,18,0.277777777777778,0.384615384615385,28.4785,1.089386,0.5,5.55555555555556,13
V2_c1,bgs,3,10000,87727,6,0.666666666666667,0.357142857142857,65.3715,0.404335,1,0,14
V2_c1,bgs,3,30000,87652,6,0.666666666666667,0.357142857142857,65.3715,0.273527,1,0,14
V2_c1,bgs,3,1e+05,87551,6,0.666666666666667,0.357142857142857,65.3715,0.588327,1,0,14
V2_c1,bgs,3,3e+05,87454,6,0.666666666666667,0.357142857142857,65.3715,0.588327,1,0,14
V2_c1,bgs,4,10000,87450,1,1,0.1,65.289,0.065289,1,0,10
V2_c1,bgs,4,30000,87375,1,1,0.1,65.289,0.065289,1,0,10
V2_c1,bgs,4,1e+05,87266,1,1,0.1,65.289,0.065289,1,0,10
V2_c1,bgs,4,3e+05,87180,1,1,0.1,65.289,0.065289,1,0,10
V2_c1,bgs,5,10000,86780,1,1,0.111111111111111,0,0,1,0,9
V2_c1,bgs,5,30000,86707,1,1,0.111111111111111,0,0,1,0,9
V2_c1,bgs,5,1e+05,86617,1,1,0.111111111111111,0,0,1,0,9
V2_c1,bgs,5,3e+05,86531,1,1,0.111111111111111,0,0,1,0,9
