cell,tag,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,occ_all_units,widest_all_Mb,n_qtn
V0.5_c2,nobgs,4,stage 1,Simes,EMMAX,78782,60,9,0.15,0.27027027027027,24.655719,0.017691933127739,1,27.597578,37
V0.5_c2,nobgs,4,stage 2,consensus,EMMAX,73546,17,3,0.176470588235294,0.108108108108108,17.714277,0.0188832938388626,1,27.597578,37
V0.5_c2,nobgs,4,stage 2,Simes,LFMM,73546,105,11,0.104761904761905,0.351351351351351,27.597578,0.0138924835102433,1,27.597578,37
V0.5_c2,nobgs,4,stage 1,Simes,LFMM,78782,137,14,0.102189781021898,0.432432432432432,27.597578,0.013144748110642,1,27.597578,37
V0.5_c2,nobgs,4,stage 2,consensus,LFMM,73546,135,9,0.0666666666666667,0.27027027027027,26.082785,0.0127536735295356,1,27.597578,37
V0.5_c2,nobgs,5,stage 2,Simes,EMMAX,71812,0,0,0,0,,,1,29.224708,38
V0.5_c2,nobgs,5,stage 1,Simes,EMMAX,77022,0,0,0,0,,,1,29.224708,38
V0.5_c2,nobgs,5,stage 2,consensus,EMMAX,71812,31,2,0.0645161290322581,0.105263157894737,25.067269,0.0731707317073171,1,29.224708,38
V0.5_c2,nobgs,5,stage 2,Simes,LFMM,71812,161,12,0.0745341614906832,0.447368421052632,29.224708,0.0106158318235093,1,29.224708,38
V0.5_c2,nobgs,5,stage 1,Simes,LFMM,77022,208,14,0.0673076923076923,0.526315789473684,29.224708,0.0116042890343938,1,29.224708,38
V0.5_c2,nobgs,5,stage 2,consensus,LFMM,71812,236,15,0.0635593220338983,0.552631578947369,29.224708,0.0128363057174914,1,29.224708,38
V0.5_c2,nobgs,6,stage 2,Simes,EMMAX,73578,108,7,0.0648148148148148,0.259259259259259,26.134329,0.0262643196423582,1,28.430826,27
V0.5_c2,nobgs,6,stage 1,Simes,EMMAX,78575,133,7,0.0526315789473684,0.259259259259259,26.290684,0.0289204136396361,1,28.430826,27
V0.5_c2,nobgs,6,stage 2,consensus,EMMAX,73578,67,4,0.0597014925373134,0.148148148148148,19.702831,0.0303030303030303,1,28.430826,27
V0.5_c2,nobgs,6,stage 2,Simes,LFMM,73578,728,14,0.0192307692307692,0.518518518518519,26.290684,0.0769230769230769,1,28.430826,27
V0.5_c2,nobgs,6,stage 1,Simes,LFMM,78575,876,14,0.0159817351598174,0.518518518518519,26.290684,0.0798550724637681,1,28.430826,27
V0.5_c2,nobgs,6,stage 2,consensus,LFMM,73578,1742,16,0.00918484500574053,0.592592592592593,26.290684,0.111111111111111,1,28.430826,27
V0.5_c2,nobgs,7,stage 2,Simes,EMMAX,73710,51,5,0.0980392156862745,0.142857142857143,30.358548,0.0137055837563452,1,30.358548,35
V0.5_c2,nobgs,7,stage 1,Simes,EMMAX,78532,63,8,0.126984126984127,0.228571428571429,30.358548,0.0135957676773423,1,30.358548,35
V0.5_c2,nobgs,7,stage 2,consensus,EMMAX,73710,22,3,0.136363636363636,0.0857142857142857,19.260223,0.0146745629248311,1,30.358548,35
V0.5_c2,nobgs,7,stage 2,Simes,LFMM,73710,154,13,0.0844155844155844,0.371428571428571,28.980197,0.0157047525647951,1,30.358548,35
V0.5_c2,nobgs,7,stage 1,Simes,LFMM,78532,195,13,0.0666666666666667,0.371428571428571,30.358548,0.0173163418290855,1,30.358548,35
V0.5_c2,nobgs,7,stage 2,consensus,LFMM,73710,304,13,0.0427631578947368,0.371428571428571,30.358548,0.0292917368925039,1,30.358548,35
V0.5_c2,nobgs,8,stage 2,Simes,EMMAX,73774,119,6,0.0504201680672269,0.212121212121212,26.113587,0.0289473684210526,1,27.991304,33
V0.5_c2,nobgs,8,stage 1,Simes,EMMAX,79033,157,7,0.0445859872611465,0.242424242424242,26.113587,0.0345522312884054,1,27.991304,33
V0.5_c2,nobgs,8,stage 2,consensus,EMMAX,73774,94,5,0.0531914893617021,0.181818181818182,26.113587,0.0331230283911672,1,27.991304,33
V0.5_c2,nobgs,8,stage 2,Simes,LFMM,73774,421,13,0.0308788598574822,0.454545454545455,26.166995,0.0681818181818182,1,27.991304,33
V0.5_c2,nobgs,8,stage 1,Simes,LFMM,79033,505,15,0.0297029702970297,0.515151515151515,26.166995,0.0699452617174136,1,27.991304,33
V0.5_c2,nobgs,8,stage 2,consensus,LFMM,73774,598,13,0.0217391304347826,0.424242424242424,26.166995,0.0736418095434827,1,27.991304,33
V0.5_c2,nobgs,9,stage 2,Simes,EMMAX,71961,2,2,1,0.0857142857142857,12.921065,0.0042497494785788,1,25.31088,35
V0.5_c2,nobgs,9,stage 1,Simes,EMMAX,77054,2,2,1,0.0857142857142857,12.921065,0.0042497494785788,1,25.31088,35
V0.5_c2,nobgs,9,stage 2,consensus,EMMAX,71961,2,1,0.5,0.0285714285714286,12.622841,0.00496996494904939,1,25.31088,35
V0.5_c2,nobgs,9,stage 2,Simes,LFMM,71961,61,7,0.114754098360656,0.228571428571429,21.485634,0.0115580804822814,1,25.31088,35
V0.5_c2,nobgs,9,stage 1,Simes,LFMM,77054,92,8,0.0869565217391304,0.285714285714286,24.968216,0.0112050739957717,1,25.31088,35
V0.5_c2,nobgs,9,stage 2,consensus,LFMM,71961,79,11,0.139240506329114,0.342857142857143,24.06597,0.0103872901457572,1,25.31088,35
V0.5_c2,nobgs,10,stage 2,Simes,EMMAX,74139,52,3,0.0576923076923077,0.0909090909090909,27.186468,0.0176510145903995,1,27.695697,33
V0.5_c2,nobgs,10,stage 1,Simes,EMMAX,79175,69,3,0.0434782608695652,0.0909090909090909,27.186468,0.0172024816694867,1,27.695697,33
V0.5_c2,nobgs,10,stage 2,consensus,EMMAX,74139,13,2,0.153846153846154,0.0606060606060606,17.428242,0.0165529010238908,1,27.695697,33
V0.5_c2,nobgs,10,stage 2,Simes,LFMM,74139,160,6,0.0375,0.181818181818182,27.186468,0.0263195366061764,1,27.695697,33
V0.5_c2,nobgs,10,stage 1,Simes,LFMM,79175,205,6,0.0292682926829268,0.181818181818182,27.186468,0.0246859158033943,1,27.695697,33
