arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
single SNP,V1_c1.5,nobgs,2,331483,53,2,0.0377358490566038,0.0689655172413793,17,0.618413045520805,29
consensus (no n penalty),V1_c1.5,nobgs,2,91759,34,1,0.0294117647058824,0.0344827586206897,11,0.62376263934019,29
cluster-then-test,V1_c1.5,nobgs,3,91104,2,1,0.5,0.04,0,0,25
test-then-cluster,V1_c1.5,nobgs,3,94429,3,1,0.333333333333333,0.04,0,0,25
single SNP,V1_c1.5,nobgs,3,326022,8,3,0.375,0.12,0,0,25
consensus (no n penalty),V1_c1.5,nobgs,3,91104,8,2,0.25,0.08,1,0.210678210678211,25
cluster-then-test,V1_c1.5,nobgs,4,90013,0,0,0,0,0,0,27
test-then-cluster,V1_c1.5,nobgs,4,93395,0,0,0,0,0,0,27
single SNP,V1_c1.5,nobgs,4,327837,6,5,0.833333333333333,0.185185185185185,0,0,27
consensus (no n penalty),V1_c1.5,nobgs,4,90013,0,0,0,0,0,0,27
cluster-then-test,V1_c1.5,nobgs,5,90547,0,0,0,0,0,0,23
test-then-cluster,V1_c1.5,nobgs,5,93906,0,0,0,0,0,0,23
single SNP,V1_c1.5,nobgs,5,328500,1,0,0,0,0,0,23
consensus (no n penalty),V1_c1.5,nobgs,5,90547,3,0,0,0,1,0.638104298801973,23
cluster-then-test,V1_c1.5,nobgs,6,91998,65,4,0.0615384615384615,0.19047619047619,34,1.00948249987898,21
test-then-cluster,V1_c1.5,nobgs,6,95133,75,4,0.0533333333333333,0.19047619047619,39,1.00354436752675,21
single SNP,V1_c1.5,nobgs,6,331362,179,6,0.0335195530726257,0.333333333333333,95,1.01855464652821,21
consensus (no n penalty),V1_c1.5,nobgs,6,91998,57,4,0.0701754385964912,0.19047619047619,28,0.948017621145375,21
cluster-then-test,V1_c1.5,nobgs,7,90928,2,2,1,0.166666666666667,0,0,24
test-then-cluster,V1_c1.5,nobgs,7,93991,2,2,1,0.166666666666667,0,0,24
single SNP,V1_c1.5,nobgs,7,326460,16,3,0.1875,0.208333333333333,4,0.480673263976994,24
consensus (no n penalty),V1_c1.5,nobgs,7,90928,2,1,0.5,0.0416666666666667,0,0,24
cluster-then-test,V1_c1.5,nobgs,8,90460,14,3,0.214285714285714,0.130434782608696,6,0.817557389889739,23
test-then-cluster,V1_c1.5,nobgs,8,93401,28,3,0.107142857142857,0.130434782608696,14,0.920926715048212,23
single SNP,V1_c1.5,nobgs,8,327225,51,3,0.0588235294117647,0.130434782608696,20,0.733705349901048,23
consensus (no n penalty),V1_c1.5,nobgs,8,90460,17,2,0.117647058823529,0.0869565217391304,9,1.00992383456968,23
cluster-then-test,V1_c1.5,nobgs,9,90358,0,0,0,0,0,0,26
test-then-cluster,V1_c1.5,nobgs,9,93855,0,0,0,0,0,0,26
single SNP,V1_c1.5,nobgs,9,322650,0,0,0,0,0,0,26
consensus (no n penalty),V1_c1.5,nobgs,9,90358,0,0,0,0,0,0,26
cluster-then-test,V1_c1.5,nobgs,10,91302,6,3,0.5,0.166666666666667,1,0.275864361099445,24
test-then-cluster,V1_c1.5,nobgs,10,94543,14,4,0.285714285714286,0.25,4,0.514946807385631,24
single SNP,V1_c1.5,nobgs,10,329654,57,5,0.087719298245614,0.291666666666667,19,0.611499333770436,24
consensus (no n penalty),V1_c1.5,nobgs,10,91302,11,4,0.363636363636364,0.25,3,0.482762631924029,24
cluster-then-test,V2_c1,nobgs,1,104374,2,1,0.5,0.1,0,0,10
test-then-cluster,V2_c1,nobgs,1,104719,2,1,0.5,0.1,0,0,10
single SNP,V2_c1,nobgs,1,299673,28,5,0.178571428571429,0.5,3,0.194509877003354,10
consensus (no n penalty),V2_c1,nobgs,1,104374,2,1,0.5,0.1,0,0,10
cluster-then-test,V2_c1,nobgs,2,104416,17,3,0.176470588235294,0.272727272727273,6,0.690591145385521,11
test-then-cluster,V2_c1,nobgs,2,104801,17,3,0.176470588235294,0.272727272727273,6,0.690591145385521,11
single SNP,V2_c1,nobgs,2,304684,49,5,0.102040816326531,0.454545454545455,18,0.6773105464358,11
consensus (no n penalty),V2_c1,nobgs,2,104416,18,3,0.166666666666667,0.272727272727273,6,0.652224970641881,11
