cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,recall_cap,max_recall_C,max_recall_alpha,PR_AUC_C,PR_AUC_alpha,PR_AUC_C_cs,PR_AUC_alpha_cs
V0.5_c2_env5,nobgs,lfmm,3,38,367831,8830,4668,0.315789473684211,0.315789473684211,0.5,0.0374877238114063,0.0269934641954384,0.0374877238114063,0.0234679979849639
V0.5_c2_env6,bgs,emmax,1,36,314840,6553,3318,0.305555555555556,0.305555555555556,0.444444444444444,0.0164744515516886,0.0065596121555258,0.0164744515516886,0.00535229706672367
V0.5_c2_env6,bgs,emmax,3,36,314840,6553,3318,0.222222222222222,0.222222222222222,0.388888888888889,0.00867763884294064,0.0128844948625251,0.00867763884294064,0.0102952004482718
V0.5_c2_env6,bgs,lfmm,1,36,314840,10720,7773,0.444444444444444,0.444444444444444,0.638888888888889,0.012804511319024,0.014511571875587,0.012804511319024,0.0119373747336504
V0.5_c2_env6,bgs,lfmm,3,36,314840,10720,7773,0.361111111111111,0.361111111111111,0.583333333333333,0.00884623366924328,0.023477901703502,0.00884623366924328,0.0174067251372748
V0.5_c2_env6,nobgs,emmax,1,27,371205,4197,2194,0.296296296296296,0.296296296296296,0.444444444444444,0.0146022295552518,0.0256078225609664,0.0146022295552518,0.0234425625663371
V0.5_c2_env6,nobgs,emmax,3,27,371205,4197,2194,0.222222222222222,0.222222222222222,0.222222222222222,0.0143199551602578,0.0424405013784836,0.0143199551602578,0.0424405013784836
V0.5_c2_env6,nobgs,lfmm,1,27,371205,15345,11292,0.518518518518519,0.518518518518519,0.62962962962963,0.0183568976688671,0.0154962752855975,0.0183568976688671,0.0145624641623555
V0.5_c2_env6,nobgs,lfmm,3,27,371205,15345,11292,0.444444444444444,0.444444444444444,0.555555555555556,0.0179289531928577,0.020326981537833,0.0179289531928577,0.0185482115380579
V0.5_c2_env7,bgs,emmax,1,37,314813,2670,1568,0.216216216216216,0.216216216216216,0.351351351351351,0.00693006002877545,0.017484759870572,0.00693006002877545,0.0155733566334361
V0.5_c2_env7,bgs,emmax,3,37,314813,2670,1568,0.135135135135135,0.135135135135135,0.216216216216216,0.0153559652022767,0.031169561666331,0.0153559652022767,0.0288544597866632
V0.5_c2_env7,bgs,lfmm,1,37,314813,8511,5842,0.378378378378378,0.378378378378378,0.540540540540541,0.0069909430176001,0.0121772604567821,0.0069909430176001,0.0107716831743833
V0.5_c2_env7,bgs,lfmm,3,37,314813,8511,5842,0.243243243243243,0.243243243243243,0.513513513513514,0.0077675113196033,0.0173632577209684,0.0077675113196033,0.0133925438068897
V0.5_c2_env7,nobgs,emmax,1,35,370652,1799,723,0.342857142857143,0.342857142857143,0.4,0.03216241218126,0.0218508674061369,0.03216241218126,0.0208712628095651
V0.5_c2_env7,nobgs,emmax,3,35,370652,1799,723,0.114285714285714,0.114285714285714,0.314285714285714,0.0107823898790285,0.0135300446813388,0.0107823898790285,0.00687830687830688
V0.5_c2_env7,nobgs,lfmm,1,35,370652,6832,3930,0.428571428571429,0.428571428571429,0.485714285714286,0.0341042411459754,0.0225595680792688,0.0341042411459754,0.021805498627691
V0.5_c2_env7,nobgs,lfmm,3,35,370652,6832,3930,0.257142857142857,0.257142857142857,0.428571428571429,0.0161837834498684,0.0167529433318616,0.0161837834498684,0.0136584258751764
V0.5_c2_env8,bgs,emmax,1,35,312485,6060,4015,0.285714285714286,0.285714285714286,0.4,0.00706383478200906,0.00894043980261433,0.00706383478200906,0.00807132030563438
V0.5_c2_env8,bgs,emmax,3,35,312485,6060,4015,0.228571428571429,0.228571428571429,0.4,0.00700686735231893,0.0160816588652996,0.00700686735231893,0.0139637141908794
V0.5_c2_env8,bgs,lfmm,1,35,312485,7395,4796,0.371428571428571,0.371428571428571,0.514285714285714,0.00783866665844497,0.00866375574530085,0.00783866665844497,0.00737894149266646
V0.5_c2_env8,bgs,lfmm,3,35,312485,7395,4796,0.285714285714286,0.285714285714286,0.428571428571429,0.00942400973213578,0.0101617137515679,0.00942400973213578,0.00810057114922285
V0.5_c2_env8,nobgs,emmax,1,33,367971,7586,3770,0.393939393939394,0.393939393939394,0.424242424242424,0.0239148528454916,0.0133814227094598,0.0239148528454916,0.0130367219097539
V0.5_c2_env8,nobgs,emmax,3,33,367971,7586,3770,0.242424242424242,0.242424242424242,0.303030303030303,0.0284084052513124,0.00852898780299923,0.0284084052513124,0.00737445890987218
