cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V1_c1.5_env9,nobgs,emmax,3,26,322650,28,0,0.0384615384615385,0.0128205128205128
V1_c1.5_env9,nobgs,lfmm,1,26,322650,252,0,0.027977577977578,0.0120663650075415
V1_c1.5_env9,nobgs,lfmm,3,26,322650,252,0,0.0384615384615385,0.0161401098901099
V1_c1.5_env10,bgs,emmax,1,19,266333,1858,507,0.0442785275847032,0.079890406142768
V1_c1.5_env10,bgs,emmax,3,19,266333,1858,507,0.0501156659051396,0.120475234334771
V1_c1.5_env10,bgs,lfmm,1,19,266333,1580,548,0.0785873393003346,0.111414900888585
V1_c1.5_env10,bgs,lfmm,3,19,266333,1580,548,0.101858849939578,0.161056548868183
V1_c1.5_env10,nobgs,emmax,1,24,329654,2592,692,0.081938332971172,0.166186843213462
V1_c1.5_env10,nobgs,emmax,3,24,329654,2592,692,0.231367663344408,0.191732158988257
V1_c1.5_env10,nobgs,lfmm,1,24,329654,2533,1589,0.0623015873015873,0.140823318261146
V1_c1.5_env10,nobgs,lfmm,3,24,329654,2533,1589,0.116666666666667,0.197192028985507
