ldw,rho,floor,engine,n_test,flagged,regions,tp_reg,tp_qtn,n_qtn,n_qtn_legacy,prec,rec,cell,tag,env
0.0125,0.65,2,emx,37656,22,20,7,8,17,16,0.35,0.470588235294118,V0.5_c1,bgs,6
0.0125,0.65,2,lfm,37656,25,23,9,10,17,16,0.391304347826087,0.588235294117647,V0.5_c1,bgs,6
0.0125,0.65,5,emx,9117,19,17,8,9,17,16,0.470588235294118,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.65,5,lfm,9117,25,23,9,10,17,16,0.391304347826087,0.588235294117647,V0.5_c1,bgs,6
0.025,0.35,1,emx,85536,41,26,8,9,17,16,0.307692307692308,0.529411764705882,V0.5_c1,bgs,6
0.025,0.35,1,lfm,85536,60,39,10,11,17,16,0.256410256410256,0.647058823529412,V0.5_c1,bgs,6
0.025,0.35,2,emx,39790,41,26,8,9,17,16,0.307692307692308,0.529411764705882,V0.5_c1,bgs,6
0.025,0.35,2,lfm,39790,55,39,9,10,17,16,0.230769230769231,0.588235294117647,V0.5_c1,bgs,6
0.025,0.35,5,emx,9855,19,14,7,8,17,16,0.5,0.470588235294118,V0.5_c1,bgs,6
0.025,0.35,5,lfm,9855,29,24,8,9,17,16,0.333333333333333,0.529411764705882,V0.5_c1,bgs,6
0.025,0.5,1,emx,85280,38,24,8,9,17,16,0.333333333333333,0.529411764705882,V0.5_c1,bgs,6
0.025,0.5,1,lfm,85280,54,35,10,11,17,16,0.285714285714286,0.647058823529412,V0.5_c1,bgs,6
0.025,0.5,2,emx,39577,40,26,8,9,17,16,0.307692307692308,0.529411764705882,V0.5_c1,bgs,6
0.025,0.5,2,lfm,39577,50,35,9,10,17,16,0.257142857142857,0.588235294117647,V0.5_c1,bgs,6
0.025,0.5,5,emx,9746,17,13,7,8,17,16,0.538461538461538,0.470588235294118,V0.5_c1,bgs,6
0.025,0.5,5,lfm,9746,25,21,8,9,17,16,0.380952380952381,0.529411764705882,V0.5_c1,bgs,6
0.025,0.65,1,emx,84995,37,23,8,9,17,16,0.347826086956522,0.529411764705882,V0.5_c1,bgs,6
0.025,0.65,1,lfm,84995,54,35,10,11,17,16,0.285714285714286,0.647058823529412,V0.5_c1,bgs,6
0.025,0.65,2,emx,39347,40,26,8,9,17,16,0.307692307692308,0.529411764705882,V0.5_c1,bgs,6
0.025,0.65,2,lfm,39347,50,35,9,10,17,16,0.257142857142857,0.588235294117647,V0.5_c1,bgs,6
0.025,0.65,5,emx,9603,17,13,7,8,17,16,0.538461538461538,0.470588235294118,V0.5_c1,bgs,6
0.025,0.65,5,lfm,9603,23,19,8,9,17,16,0.421052631578947,0.529411764705882,V0.5_c1,bgs,6
0.05,0.35,1,emx,85684,46,30,8,9,17,16,0.266666666666667,0.529411764705882,V0.5_c1,bgs,6
0.05,0.35,1,lfm,85684,64,42,10,11,17,16,0.238095238095238,0.647058823529412,V0.5_c1,bgs,6
0.05,0.35,2,emx,39935,43,27,8,9,17,16,0.296296296296296,0.529411764705882,V0.5_c1,bgs,6
0.05,0.35,2,lfm,39935,60,43,9,10,17,16,0.209302325581395,0.588235294117647,V0.5_c1,bgs,6
0.05,0.35,5,emx,9956,21,15,7,8,17,16,0.466666666666667,0.470588235294118,V0.5_c1,bgs,6
0.05,0.35,5,lfm,9956,32,26,8,9,17,16,0.307692307692308,0.529411764705882,V0.5_c1,bgs,6
0.05,0.5,1,emx,85630,46,30,8,9,17,16,0.266666666666667,0.529411764705882,V0.5_c1,bgs,6
0.05,0.5,1,lfm,85630,64,42,10,11,17,16,0.238095238095238,0.647058823529412,V0.5_c1,bgs,6
0.05,0.5,2,emx,39887,43,27,8,9,17,16,0.296296296296296,0.529411764705882,V0.5_c1,bgs,6
0.05,0.5,2,lfm,39887,60,43,9,10,17,16,0.209302325581395,0.588235294117647,V0.5_c1,bgs,6
0.05,0.5,5,emx,9921,21,15,7,8,17,16,0.466666666666667,0.470588235294118,V0.5_c1,bgs,6
0.05,0.5,5,lfm,9921,32,26,8,9,17,16,0.307692307692308,0.529411764705882,V0.5_c1,bgs,6
0.05,0.65,1,emx,85579,46,30,8,9,17,16,0.266666666666667,0.529411764705882,V0.5_c1,bgs,6
0.05,0.65,1,lfm,85579,64,42,10,11,17,16,0.238095238095238,0.647058823529412,V0.5_c1,bgs,6
0.05,0.65,2,emx,39841,43,27,8,9,17,16,0.296296296296296,0.529411764705882,V0.5_c1,bgs,6
0.05,0.65,2,lfm,39841,60,43,9,10,17,16,0.209302325581395,0.588235294117647,V0.5_c1,bgs,6
0.05,0.65,5,emx,9878,21,15,7,8,17,16,0.466666666666667,0.470588235294118,V0.5_c1,bgs,6
