cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V0.5_c1,nobgs,6,emmax,10,16,20,11,0.125,0.194711538461538,26,0.194711538461538,26,9,9
V0.5_c1,nobgs,6,lfmm,2,16,20,11,0.0634920634920635,0.0521907216494845,97,0.0496323529411765,102,9,9
V0.5_c1,nobgs,6,lfmm,3,16,20,11,0.0816326530612245,0.0703125,72,0.0703125,72,9,9
V0.5_c1,nobgs,6,lfmm,5,16,20,11,0.121212121212121,0.103316326530612,49,0.099264705882353,51,9,9
V0.5_c1,nobgs,6,lfmm,10,16,20,11,0.1125,0.16875,30,0.153409090909091,33,9,9
V0.5_c1,nobgs,7,emmax,2,17,20,11,0.144385026737968,0.0554035567715458,86,0.0595588235294118,80,9,9
V0.5_c1,nobgs,7,emmax,3,17,20,11,0.190588235294118,0.0835913312693498,57,0.0807577268195414,59,9,9
V0.5_c1,nobgs,7,emmax,5,17,20,11,0.226890756302521,0.101748807631161,37,0.0896358543417367,42,8,8
V0.5_c1,nobgs,7,emmax,10,17,20,11,0.317647058823529,0.179271708683473,21,0.150588235294118,25,8,8
V0.5_c1,nobgs,7,lfmm,2,17,20,11,0.183823529411765,0.139561707035756,51,0.134295227524972,53,11,11
V0.5_c1,nobgs,7,lfmm,3,17,20,11,0.210084033613445,0.165526675786594,43,0.165526675786594,43,11,11
V0.5_c1,nobgs,7,lfmm,5,17,20,11,0.198142414860681,0.203361344537815,35,0.173010380622837,34,11,10
V0.5_c1,nobgs,7,lfmm,10,17,20,11,0.313725490196078,0.267379679144385,22,0.25077399380805,19,10,9
V0.5_c1,nobgs,8,emmax,2,23,20,11,0.109839816933638,0.0811594202898551,105,0.0819397993311037,104,14,14
V0.5_c1,nobgs,8,emmax,3,23,20,11,0.149068322981366,0.113623188405797,75,0.115158636897767,74,14,14
V0.5_c1,nobgs,8,emmax,5,23,20,11,0.195652173913043,0.170434782608696,50,0.173913043478261,49,14,14
V0.5_c1,nobgs,8,emmax,10,23,20,11,0.241545893719807,0.282608695652174,26,0.250434782608696,25,13,12
V0.5_c1,nobgs,8,lfmm,2,23,20,11,0.109839816933638,0.117162471395881,95,0.117162471395881,95,16,16
V0.5_c1,nobgs,8,lfmm,3,23,20,11,0.142292490118577,0.141776937618147,69,0.137783221065524,71,15,15
V0.5_c1,nobgs,8,lfmm,5,23,20,11,0.169705469845722,0.173913043478261,49,0.15780998389694,54,14,14
V0.5_c1,nobgs,8,lfmm,10,23,20,11,0.271739130434783,0.194847020933977,27,0.17536231884058,30,11,11
V0.5_c1,nobgs,9,emmax,2,19,20,11,0.175438596491228,0.124245038826575,61,0.11311861743912,67,12,12
V0.5_c1,nobgs,9,emmax,3,19,20,11,0.213157894736842,0.144736842105263,44,0.157894736842105,48,11,12
V0.5_c1,nobgs,9,emmax,5,19,20,11,0.240601503759399,0.227443609022556,28,0.212280701754386,30,11,11
V0.5_c1,nobgs,9,emmax,10,19,20,11,0.270676691729323,0.236842105263158,18,0.224376731301939,19,9,9
V0.5_c1,nobgs,9,lfmm,2,19,20,11,0.284210526315789,0.175438596491228,30,0.169779286926995,31,10,10
V0.5_c1,nobgs,9,lfmm,3,19,20,11,0.30622009569378,0.239234449760766,22,0.22883295194508,23,10,10
V0.5_c1,nobgs,9,lfmm,5,19,20,11,0.286549707602339,0.328947368421053,16,0.292397660818713,18,10,10
V0.5_c1,nobgs,9,lfmm,10,19,20,11,0.219298245614035,0.404858299595142,13,0.37593984962406,14,10,10
V0.5_c1,nobgs,10,emmax,2,21,20,11,0.110741971207087,0.0788177339901478,87,0.0753532182103611,91,12,12
V0.5_c1,nobgs,10,emmax,3,21,20,11,0.133004926108374,0.108715184186882,53,0.101086048454469,57,11,11
V0.5_c1,nobgs,10,emmax,5,21,20,11,0.203007518796992,0.0896358543417367,34,0.0870748299319728,35,8,8
V0.5_c1,nobgs,10,emmax,10,21,20,11,0.179487179487179,0.12280701754386,19,0.12280701754386,19,7,7
V0.5_c1,nobgs,10,lfmm,2,21,20,11,0.0976594027441485,0.0539932508436445,127,0.0515574650912997,133,12,12
