tag	cell	rep	env	method	n_pop	r2_axes	mantel_r	n_regions	n_FP	fp_prop	ratio_null_obs
bgs	V0.5_c2	5	8	emmax_simes	80	0.869612620545686	0.323605394339839	27	26	0.962962962962963	1.20981481481481
bgs	V0.5_c2	5	10	emmax_consensus	80	0.860438047496724	0.360488175860517	5	5	1	4.915
bgs	V0.5_c2	5	10	emmax_simes	80	0.860438047496724	0.360488175860517	14	14	1	1.92892857142857
bgs	V0.5_c2	6	1	emmax_consensus	80	0.888587917692522	0.521469109892088	1	0	0	30.79
bgs	V0.5_c2	6	1	emmax_simes	80	0.888587917692522	0.521469109892088	1	0	0	32.9
bgs	V0.5_c2	6	2	emmax_consensus	80	0.918580176967599	0.4716189673295	10	10	1	3.668
bgs	V0.5_c2	6	2	emmax_simes	80	0.918580176967599	0.4716189673295	11	11	1	3.69181818181818
bgs	V0.5_c2	6	3	emmax_consensus	80	0.924164780018208	0.540448116022082	17	17	1	2.16588235294118
bgs	V0.5_c2	6	3	emmax_simes	80	0.924164780018208	0.540448116022082	28	27	0.964285714285714	1.42446428571429
bgs	V0.5_c2	6	4	emmax_consensus	80	0.894150350264146	0.490526029956674	2	2	1	14.145
bgs	V0.5_c2	6	5	emmax_consensus	80	0.898344930971625	0.436504289768514	6	6	1	6.685
bgs	V0.5_c2	6	5	emmax_simes	80	0.898344930971625	0.436504289768514	11	11	1	3.94818181818182
bgs	V0.5_c2	6	6	emmax_consensus	80	0.887228499003404	0.372289598937837	11	11	1	3.04772727272727
bgs	V0.5_c2	6	6	emmax_simes	80	0.887228499003404	0.372289598937837	14	14	1	2.58142857142857
bgs	V0.5_c2	6	7	emmax_consensus	80	0.929572023586744	0.500215351604408	8	8	1	4.614375
bgs	V0.5_c2	6	7	emmax_simes	80	0.929572023586744	0.500215351604408	17	16	0.941176470588235	2.50323529411765
bgs	V0.5_c2	6	8	emmax_consensus	80	0.883428520416713	0.313214893212348	18	17	0.944444444444444	2.13583333333333
bgs	V0.5_c2	6	8	emmax_simes	80	0.883428520416713	0.313214893212348	14	13	0.928571428571429	2.90678571428571
bgs	V0.5_c2	6	9	emmax_consensus	80	0.862398586911643	0.40802985264673	4	4	1	8.42
bgs	V0.5_c2	6	9	emmax_simes	80	0.862398586911643	0.40802985264673	3	3	1	12.31
bgs	V0.5_c2	6	10	emmax_consensus	80	0.843281985092048	0.372063318116827	11	11	1	2.77590909090909
bgs	V0.5_c2	6	10	emmax_simes	80	0.843281985092048	0.372063318116827	17	17	1	1.94264705882353
bgs	V0.5_c2	8	2	emmax_consensus	80	0.929727809173891	0.486717490872237	14	14	1	2.62392857142857
bgs	V0.5_c2	8	2	emmax_simes	80	0.929727809173891	0.486717490872237	19	19	1	1.99894736842105
bgs	V0.5_c2	8	3	emmax_consensus	80	0.939490337486578	0.545280439480894	22	22	1	1.51363636363636
bgs	V0.5_c2	8	3	emmax_simes	80	0.939490337486578	0.545280439480894	31	30	0.967741935483871	1.13403225806452
bgs	V0.5_c2	8	4	emmax_consensus	80	0.886470865420566	0.50463921254959	6	5	0.833333333333333	5.95666666666667
bgs	V0.5_c2	8	4	emmax_simes	80	0.886470865420566	0.50463921254959	24	23	0.958333333333333	1.61791666666667
bgs	V0.5_c2	8	5	emmax_consensus	80	0.891889145944287	0.450588524072627	4	4	1	10.60625
bgs	V0.5_c2	8	5	emmax_simes	80	0.891889145944287	0.450588524072627	2	2	1	22.38
bgs	V0.5_c2	8	6	emmax_consensus	80	0.888531392972783	0.35943957740945	15	15	1	2.05366666666667
bgs	V0.5_c2	8	6	emmax_simes	80	0.888531392972783	0.35943957740945	17	17	1	1.85911764705882
bgs	V0.5_c2	8	7	emmax_consensus	80	0.918260909652002	0.482972192523765	16	15	0.9375	2.5378125
bgs	V0.5_c2	8	7	emmax_simes	80	0.918260909652002	0.482972192523765	35	34	0.971428571428571	1.25285714285714
bgs	V0.5_c2	8	8	emmax_consensus	80	0.858054151517369	0.333319656334633	11	11	1	3.36136363636364
bgs	V0.5_c2	8	8	emmax_simes	80	0.858054151517369	0.333319656334633	12	12	1	3.00875
bgs	V0.5_c2	8	9	emmax_consensus	80	0.842879797779658	0.41223824075927	1	1	1	32.85
bgs	V0.5_c2	8	10	emmax_consensus	80	0.849172626286197	0.360545620558477	6	6	1	4.4825
bgs	V0.5_c2	8	10	emmax_simes	80	0.849172626286197	0.360545620558477	8	8	1	3.758125
bgs	V0.5_c2	10	2	emmax_consensus	80	0.918082647789378	0.481469926106296	15	13	0.866666666666667	2.42366666666667
bgs	V0.5_c2	10	2	emmax_simes	80	0.918082647789378	0.481469926106296	19	17	0.894736842105263	1.96026315789474
bgs	V0.5_c2	10	3	emmax_consensus	80	0.928765708258297	0.543127867963617	24	24	1	1.47458333333333
bgs	V0.5_c2	10	3	emmax_simes	80	0.928765708258297	0.543127867963617	25	25	1	1.4846
bgs	V0.5_c2	10	4	emmax_consensus	80	0.89086090952377	0.501911458640321	2	2	1	13.865
bgs	V0.5_c2	10	4	emmax_simes	80	0.89086090952377	0.501911458640321	11	11	1	2.82272727272727
bgs	V0.5_c2	10	5	emmax_consensus	80	0.89972843417522	0.456753352775134	10	10	1	4.916
bgs	V0.5_c2	10	5	emmax_simes	80	0.89972843417522	0.456753352775134	18	18	1	2.64111111111111
bgs	V0.5_c2	10	6	emmax_consensus	80	0.880413065438668	0.359612998835485	15	15	1	2.14166666666667
bgs	V0.5_c2	10	6	emmax_simes	80	0.880413065438668	0.359612998835485	24	24	1	1.39625
bgs	V0.5_c2	10	7	emmax_consensus	80	0.927309913296005	0.481226197967526	3	3	1	14.5583333333333
bgs	V0.5_c2	10	7	emmax_simes	80	0.927309913296005	0.481226197967526	16	15	0.9375	2.761875
bgs	V0.5_c2	10	8	emmax_consensus	80	0.859670710315421	0.323082550859212	15	15	1	2.40966666666667
bgs	V0.5_c2	10	8	emmax_simes	80	0.859670710315421	0.323082550859212	19	18	0.947368421052632	1.87842105263158
bgs	V0.5_c2	10	10	emmax_consensus	80	0.849708722977668	0.350779485293176	8	8	1	3.68125
bgs	V0.5_c2	10	10	emmax_simes	80	0.849708722977668	0.350779485293176	9	9	1	3.47777777777778
bgs	V1_c1	1	1	emmax_consensus	80	0.868293365862574	0.48301732785061	1	1	1	0.105
bgs	V1_c1	1	1	emmax_simes	80	0.868293365862574	0.48301732785061	1	1	1	0.105
bgs	V1_c1	1	2	emmax_consensus	80	0.920083172758874	0.444576402869225	2	1	0.5	0.26
bgs	V1_c1	1	2	emmax_simes	80	0.920083172758874	0.444576402869225	1	0	0	0.475
bgs	V1_c1	1	3	emmax_simes	80	0.906872533584495	0.537149512702677	1	0	0	0.11
bgs	V1_c1	1	4	emmax_consensus	80	0.878116445165877	0.489334136258973	3	1	0.333333333333333	0.0983333333333333
bgs	V1_c1	1	4	emmax_simes	80	0.878116445165877	0.489334136258973	3	1	0.333333333333333	0.0666666666666667
bgs	V1_c1	1	5	emmax_consensus	80	0.880174422791857	0.413135939662642	1	0	0	0.385
bgs	V1_c1	1	5	emmax_simes	80	0.880174422791857	0.413135939662642	1	0	0	0.39
bgs	V1_c1	1	6	emmax_consensus	80	0.879608010587678	0.311310644748456	1	0	0	0.445
bgs	V1_c1	1	7	emmax_consensus	80	0.882286148094823	0.354126771540219	2	1	0.5	0.5125
bgs	V1_c1	1	7	emmax_simes	80	0.882286148094823	0.354126771540219	2	1	0.5	0.45
bgs	V1_c1	1	10	emmax_simes	80	0.80117883456449	0.330036861030664	1	1	1	0.32
bgs	V1_c1	2	1	emmax_simes	80	0.868052799735026	0.523011395338024	2	1	0.5	0.22
bgs	V1_c1	2	2	emmax_consensus	80	0.91960335938597	0.457458666490751	7	6	0.857142857142857	0.0107142857142857
bgs	V1_c1	2	2	emmax_simes	80	0.91960335938597	0.457458666490751	6	5	0.833333333333333	0.0466666666666667
bgs	V1_c1	2	3	emmax_consensus	80	0.915341052054559	0.559607596314579	2	0	0	0.06
bgs	V1_c1	2	3	emmax_simes	80	0.915341052054559	0.559607596314579	2	0	0	0.0325
bgs	V1_c1	2	4	emmax_consensus	80	0.869430824501041	0.499968800497095	3	0	0	0.148333333333333
bgs	V1_c1	2	4	emmax_simes	80	0.869430824501041	0.499968800497095	4	1	0.25	0.125
bgs	V1_c1	2	6	emmax_consensus	80	0.886994634094495	0.368127597085386	1	0	0	0.115
bgs	V1_c1	2	6	emmax_simes	80	0.886994634094495	0.368127597085386	1	0	0	0.08
bgs	V1_c1	2	7	emmax_consensus	80	0.889592612404324	0.374498456496928	1	0	0	0.475
bgs	V1_c1	2	7	emmax_simes	80	0.889592612404324	0.374498456496928	1	0	0	0.435
bgs	V1_c1	2	8	emmax_consensus	80	0.851557589232031	0.35001415012256	2	2	1	0.3275
bgs	V1_c1	2	8	emmax_simes	80	0.851557589232031	0.35001415012256	1	1	1	0.795
bgs	V1_c1	2	9	emmax_consensus	80	0.834786546264969	0.357780274516758	1	0	0	0.175
bgs	V1_c1	2	9	emmax_simes	80	0.834786546264969	0.357780274516758	4	3	0.75	0.02
bgs	V1_c1	4	2	emmax_consensus	80	0.89143371968521	0.446228271401147	2	0	0	0.23
