tag	cell	method	arm	floor	TP	FP	n_regions	n_detectable_qtn	n_recovered	n_tests	n_eligible_markers	n_eligible_units	frac_markers_retained	frac_dqtn_covered	precision	recall	realised_fdp	precision_ci_lo	precision_ci_hi	recall_ci_lo	recall_ci_hi	fdp_ci_lo	fdp_ci_hi
nobgs	V1_c1.5	emmax	A_unrestricted_marker	2	27	218	245	274	33	1508205	1508205	807408	1	1	0.110204081632653	0.12043795620438	0.889795918367347	0.0766129032258065	0.151230493584557	0.0657870726085286	0.191729323308271	0.848769506415443	0.923387096774194
nobgs	V1_c1.5	emmax	A_unrestricted_marker	3	27	218	245	274	33	1508205	1508205	807408	1	1	0.110204081632653	0.12043795620438	0.889795918367347	0.0766129032258065	0.151230493584557	0.0657870726085286	0.191729323308271	0.848769506415443	0.923387096774194
nobgs	V1_c1.5	emmax	A_unrestricted_marker	5	27	218	245	274	33	1508205	1508205	807408	1	1	0.110204081632653	0.12043795620438	0.889795918367347	0.0766129032258065	0.151230493584557	0.0657870726085286	0.191729323308271	0.848769506415443	0.923387096774194
nobgs	V1_c1.5	emmax	A_unrestricted_marker	10	27	218	245	274	33	1508205	1508205	807408	1	1	0.110204081632653	0.12043795620438	0.889795918367347	0.0766129032258065	0.151230493584557	0.0657870726085286	0.191729323308271	0.848769506415443	0.923387096774194
nobgs	V1_c1.5	emmax	A_unrestricted_marker	20	27	218	245	274	33	1508205	1508205	807408	1	1	0.110204081632653	0.12043795620438	0.889795918367347	0.0766129032258065	0.151230493584557	0.0657870726085286	0.191729323308271	0.848769506415443	0.923387096774194
nobgs	V2_c1	emmax	A_unrestricted_marker	1	54	101	155	128	49	1488482	1488482	901426	1	1	0.348387096774194	0.3828125	0.651612903225806	0.245962021172105	0.494847964177861	0.308940100430416	0.463414634146342	0.505152035822139	0.754037978827895
nobgs	V2_c1	emmax	A_unrestricted_marker	2	54	101	155	128	49	1488482	1488482	901426	1	1	0.348387096774194	0.3828125	0.651612903225806	0.245962021172105	0.494847964177861	0.308940100430416	0.463414634146342	0.505152035822139	0.754037978827895
nobgs	V2_c1	emmax	A_unrestricted_marker	3	54	101	155	128	49	1488482	1488482	901426	1	1	0.348387096774194	0.3828125	0.651612903225806	0.245962021172105	0.494847964177861	0.308940100430416	0.463414634146342	0.505152035822139	0.754037978827895
nobgs	V2_c1	emmax	A_unrestricted_marker	5	54	101	155	128	49	1488482	1488482	901426	1	1	0.348387096774194	0.3828125	0.651612903225806	0.245962021172105	0.494847964177861	0.308940100430416	0.463414634146342	0.505152035822139	0.754037978827895
nobgs	V2_c1	emmax	A_unrestricted_marker	10	54	101	155	128	49	1488482	1488482	901426	1	1	0.348387096774194	0.3828125	0.651612903225806	0.245962021172105	0.494847964177861	0.308940100430416	0.463414634146342	0.505152035822139	0.754037978827895
