method	floor	arm	n_tests	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	fdp	fdp_ci_lo	fdp_ci_hi	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi	mean_frac_markers_retained	n_tests_a	pct_of_unrestricted_tests
lfmm	3	A_unrestricted_marker	21861276	0.108626198083067	0.104615430757816	0.112676117660333	0.34140826873385	0.329548688235538	0.354829311460022	0.891373801916933	0.887323882339667	0.895384569242184	0.0370858822266802	0.0353608621592763	0.0390510279262534	1	21861276	100
lfmm	3	B_floor_filtered_marker	10112399	0.109599324387726	0.105024480890865	0.114341330694469	0.328165374677003	0.312698519647228	0.342537600587114	0.890400675612274	0.885658669305531	0.894975519109135	0.0359667033520446	0.0334475993313309	0.038200848174987	0.458968437782981	21861276	46.2571306450731
lfmm	3	C_stage1_simes	1927510	0.124903524569076	0.120639440206261	0.129550537653397	0.28843669250646	0.273971931018732	0.303011242326752	0.875096475430924	0.870449462346603	0.87936055979374	0.0360267595091038	0.0333272959580717	0.0385891904895356	0.458968437782981	21861276	8.81700592408238
lfmm	5	A_unrestricted_marker	21861276	0.108626198083067	0.104615430757816	0.112676117660333	0.34140826873385	0.329548688235538	0.354829311460022	0.891373801916933	0.887323882339667	0.895384569242184	0.0370858822266802	0.0353608621592763	0.0390510279262534	1	21861276	100
lfmm	5	B_floor_filtered_marker	5952151	0.110277653381102	0.105060065741828	0.115075407299855	0.289082687338501	0.274203253574989	0.302037081749104	0.889722346618898	0.884924592700145	0.894939934258171	0.0318793603927926	0.0291993112769293	0.0343680284439487	0.268199729470145	21861276	27.2269148424822
lfmm	5	C_stage1_simes	674688	0.122781495490253	0.116211813818399	0.12986472160799	0.25968992248062	0.242976564969133	0.27416344595437	0.877218504509747	0.87013527839201	0.883788186181601	0.0318851170459185	0.0284556338338215	0.0350972981304209	0.268199729470145	21861276	3.0862242441841
lfmm	10	A_unrestricted_marker	21861276	0.108626198083067	0.104615430757816	0.112676117660333	0.34140826873385	0.329548688235538	0.354829311460022	0.891373801916933	0.887323882339667	0.895384569242184	0.0370858822266802	0.0353608621592763	0.0390510279262534	1	21861276	100
lfmm	10	B_floor_filtered_marker	2755356	0.124839361116211	0.117746580857412	0.133222206040166	0.213178294573643	0.198320641377668	0.229269120941533	0.875160638883789	0.866777793959834	0.882253419142588	0.026613042098417	0.0238859048007359	0.0298114769118009	0.122812589253455	21861276	12.6038205638134
lfmm	10	C_stage1_simes	156876	0.139383021841928	0.132829081297806	0.14718444844063	0.197674418604651	0.184520126822957	0.211319837017191	0.860616978158073	0.85281555155937	0.867170918702195	0.0275524578059624	0.0249258881600559	0.0304923665881851	0.122812589253455	21861276	0.717597637027226
lfmm	20	A_unrestricted_marker	21861276	0.108626198083067	0.104615430757816	0.112676117660333	0.34140826873385	0.329548688235538	0.354829311460022	0.891373801916933	0.887323882339667	0.895384569242184	0.0370858822266802	0.0353608621592763	0.0390510279262534	1	21861276	100
lfmm	20	B_floor_filtered_marker	1229552	0.149734982332155	0.129175897620567	0.176534341491123	0.114664082687339	0.091908555707874	0.139405324932265	0.850265017667845	0.823465658508877	0.870824102379433	0.0171692243953214	0.0121014498913769	0.0240809231737991	0.0544370917353323	21861276	5.62433775594801
lfmm	20	C_stage1_simes	37977	0.164576802507837	0.143309237767601	0.188984066651158	0.106589147286822	0.0868641279199301	0.12722312249962	0.835423197492163	0.811015933348842	0.856690762232399	0.017542101042502	0.0126794816396065	0.0236010755978278	0.0544370917353323	21861276	0.173718130634278
