tag	cell	rep	env	method	r2_axes	mantel_r	n_pop	n_regions	n_FP	fp_prop	any_fp	mean_null
bgs	V0.5_c1.5	3	10	emmax_simes	0.845511275927122	0.345754154033763	80	0	0		0	8.845
bgs	V0.5_c1.5	6	1	emmax_consensus	0.884623756151437	0.545915177385724	80	1	0	0	0	9.715
bgs	V0.5_c1.5	6	1	emmax_simes	0.884623756151437	0.545915177385724	80	1	0	0	0	7.36
bgs	V0.5_c1.5	6	2	emmax_consensus	0.921992166820715	0.485545262597314	80	10	9	0.9	1	17.11
bgs	V0.5_c1.5	6	2	emmax_simes	0.921992166820715	0.485545262597314	80	9	8	0.888888888888889	1	13.15
bgs	V0.5_c1.5	6	3	emmax_consensus	0.920533370523399	0.555068525121842	80	1	1	1	1	10.96
bgs	V0.5_c1.5	6	3	emmax_simes	0.920533370523399	0.555068525121842	80	2	2	1	1	8.995
bgs	V0.5_c1.5	6	4	emmax_consensus	0.877575795552354	0.528539076579354	80	0	0		0	8.275
bgs	V0.5_c1.5	6	4	emmax_simes	0.877575795552354	0.528539076579354	80	0	0		0	6.345
bgs	V0.5_c1.5	6	5	emmax_consensus	0.894405297966517	0.432259413039729	80	2	2	1	1	10.17
bgs	V0.5_c1.5	6	5	emmax_simes	0.894405297966517	0.432259413039729	80	0	0		0	7.02
bgs	V0.5_c1.5	6	6	emmax_consensus	0.878575915252812	0.352201326644073	80	0	0		0	10.305
bgs	V0.5_c1.5	6	6	emmax_simes	0.878575915252812	0.352201326644073	80	3	2	0.666666666666667	1	8.97
bgs	V0.5_c1.5	6	7	emmax_consensus	0.924483526653532	0.446141637815688	80	1	0	0	0	9.61
bgs	V0.5_c1.5	6	7	emmax_simes	0.924483526653532	0.446141637815688	80	0	0		0	6
bgs	V0.5_c1.5	6	8	emmax_consensus	0.858544297159516	0.3391390215337	80	2	1	0.5	1	13.39
bgs	V0.5_c1.5	6	8	emmax_simes	0.858544297159516	0.3391390215337	80	0	0		0	9.225
bgs	V0.5_c1.5	6	9	emmax_consensus	0.849724476956993	0.38970188558653	80	0	0		0	9.78
bgs	V0.5_c1.5	6	9	emmax_simes	0.849724476956993	0.38970188558653	80	0	0		0	7.615
bgs	V0.5_c1.5	6	10	emmax_consensus	0.831190743693023	0.372838052263599	80	0	0		0	7.285
bgs	V0.5_c1.5	6	10	emmax_simes	0.831190743693023	0.372838052263599	80	2	1	0.5	1	6.345
bgs	V0.5_c1.5	8	1	emmax_consensus	0.900405079014513	0.546364859527223	80	0	0		0	7.24
bgs	V0.5_c1.5	8	1	emmax_simes	0.900405079014513	0.546364859527223	80	0	0		0	4.795
bgs	V0.5_c1.5	8	2	emmax_consensus	0.931303885417511	0.509485765182003	80	8	7	0.875	1	12.52
bgs	V0.5_c1.5	8	2	emmax_simes	0.931303885417511	0.509485765182003	80	9	8	0.888888888888889	1	9.725
bgs	V0.5_c1.5	8	3	emmax_consensus	0.940540323348211	0.577855224517792	80	2	2	1	1	14.2
bgs	V0.5_c1.5	8	3	emmax_simes	0.940540323348211	0.577855224517792	80	0	0		0	10.915
bgs	V0.5_c1.5	8	4	emmax_consensus	0.894751868329949	0.518057174599161	80	0	0		0	4.665
bgs	V0.5_c1.5	8	4	emmax_simes	0.894751868329949	0.518057174599161	80	0	0		0	3.77
bgs	V0.5_c1.5	8	5	emmax_consensus	0.881300145297422	0.435141385023272	80	6	4	0.666666666666667	1	12.365
bgs	V0.5_c1.5	8	5	emmax_simes	0.881300145297422	0.435141385023272	80	3	1	0.333333333333333	1	9.705
