tag	cell	method	n_tested	n_significant	TP	FP	FN	n_detectable_qtn	n_recovered	coverage	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
bgs	V2_c1.5	emmax_snp_nonsingleton	1623067	790	81	709	177	190	13	0.994736842105263	0.10253164556962	0.045067257477449	0.174786333706522	0.068421052631579	0.0391041013762093	0.0957549099836333
bgs	V2_c1.5	emmax_simes	311536	192	20	172	174	190	16	0.994736842105263	0.104166666666667	0.0696158579465542	0.141244473102432	0.0842105263157895	0.0611111111111111	0.106956646294882
bgs	V2_c1.5	emmax_consensus	311536	235	20	215	175	190	15	0.994736842105263	0.0851063829787234	0.053921568627451	0.125754396718374	0.0789473684210526	0.0552477714130766	0.102445616348055
nobgs	V0.5_c1	lfmm_snp	1488756	2845	1372	1473	67	204	137	0.955882352941176	0.482249560632689	0.389413223107341	0.622809293174549	0.67156862745098	0.600855263157895	0.748663101604278
nobgs	V0.5_c1	lfmm_simes	291445	427	266	161	79	204	125	0.955882352941176	0.622950819672131	0.544172289156627	0.71531236064744	0.612745098039216	0.535349978659838	0.701664099022525
nobgs	V0.5_c1.5	lfmm_snp	1518170	2747	515	2232	183	265	82	0.977358490566038	0.187477247906807	0.129333241844756	0.252524847695034	0.309433962264151	0.244755244755245	0.395348837209302
nobgs	V0.5_c1.5	lfmm_simes	292375	536	85	451	190	265	75	0.977358490566038	0.158582089552239	0.131928555739198	0.18487474234977	0.283018867924528	0.224264705882353	0.352718878248974
nobgs	V0.5_c2	lfmm_snp	1553729	13389	311	13078	268	346	78	0.869942196531792	0.0232280230039585	0.0146181611390608	0.0344382583572219	0.225433526011561	0.181556195965418	0.277447493224932
nobgs	V0.5_c2	lfmm_simes	242330	2454	72	2382	278	346	68	0.869942196531792	0.0293398533007335	0.0230128848445211	0.0358564790325673	0.196531791907514	0.165680027803522	0.227694444444444
nobgs	V1_c1	lfmm_snp	1495690	2648	1128	1520	73	156	83	0.980769230769231	0.425981873111783	0.362592605671606	0.529077161982297	0.532051282051282	0.473684210526316	0.597404639385772
nobgs	V1_c1	lfmm_simes	292729	262	151	111	77	156	79	0.980769230769231	0.576335877862595	0.510785667240855	0.647773279352227	0.506410256410256	0.450617283950617	0.571428571428571
nobgs	V1_c1.5	lfmm_snp	1508205	2119	284	1835	202	274	72	0.989051094890511	0.134025483718735	0.0912717697481849	0.181431069526087	0.262773722627737	0.181158736669401	0.361801873453517
nobgs	V1_c1.5	lfmm_simes	290755	448	66	382	212	274	62	0.989051094890511	0.147321428571429	0.105658954131425	0.200472436988698	0.226277372262774	0.132876929841704	0.344094982078853
nobgs	V2_c1	lfmm_snp	1488482	1204	569	635	67	128	61	0.9375	0.472591362126246	0.380061451717639	0.594460235356134	0.4765625	0.425196850393701	0.527142464750046
nobgs	V2_c1	lfmm_simes	291359	172	95	77	77	128	51	0.9375	0.552325581395349	0.460394075121798	0.654347143753923	0.3984375	0.303564110070258	0.486524324324324
nobgs	V2_c1.5	lfmm_snp	1496487	2195	307	1888	165	196	31	0.918367346938776	0.139863325740319	0.07595702124936	0.211569217520846	0.158163265306122	0.112168021680217	0.202143592509069
nobgs	V2_c1.5	lfmm_simes	290788	504	40	464	166	196	30	0.918367346938776	0.0793650793650794	0.0513916513613935	0.106539337212244	0.153061224489796	0.110526315789474	0.195769923089511
bgs	V0.5_c1	lfmm_snp	1543807	2507	1305	1202	64	167	103	0.958083832335329	0.520542481053052	0.453885554316193	0.586863859616759	0.616766467065868	0.553459119496855	0.674163835902796
bgs	V0.5_c1	lfmm_simes	306715	384	227	157	73	167	94	0.958083832335329	0.591145833333333	0.540050387596899	0.659177520933228	0.562874251497006	0.490439615336581	0.625
bgs	V0.5_c1.5	lfmm_snp	1615784	3665	576	3089	205	281	76	1	0.157162346521146	0.139907288630797	0.183155836550693	0.270462633451957	0.213559322033898	0.335742092785172
bgs	V0.5_c1.5	lfmm_simes	305864	451	76	375	216	281	65	1	0.168514412416851	0.147702920929794	0.196642685851319	0.231316725978648	0.191419141914191	0.271707130965594
bgs	V0.5_c2	lfmm_snp	1804009	23655	474	23181	293	369	76	0.937669376693767	0.0200380469245403	0.0150501247908398	0.0259517818508823	0.205962059620596	0.163971103869318	0.250727866904337
bgs	V0.5_c2	lfmm_simes	267574	3108	86	3022	292	369	77	0.937669376693767	0.0276705276705277	0.0233414536534472	0.032120057578684	0.208672086720867	0.172504414908449	0.247912002003749
bgs	V1_c1	lfmm_snp	1552470	1730	792	938	54	143	89	0.986013986013986	0.457803468208093	0.337410663389637	0.58912607618476	0.622377622377622	0.492851890756303	0.715328467153285
bgs	V1_c1	lfmm_simes	307433	321	183	138	59	143	84	0.986013986013986	0.570093457943925	0.501510574018127	0.653073979591837	0.587412587412587	0.464267975402081	0.6866875
bgs	V1_c1.5	lfmm_snp	1621446	2129	268	1861	204	256	52	0.99609375	0.125880695162048	0.0832535856174064	0.17217371337935	0.203125	0.171101410846508	0.231711735595617
bgs	V1_c1.5	lfmm_simes	307910	395	48	347	212	256	44	0.99609375	0.121518987341772	0.0906930127394729	0.160994077264773	0.171875	0.144484633018078	0.202380952380952
bgs	V2_c1	lfmm_snp	1551174	666	397	269	80	121	41	0.966942148760331	0.596096096096096	0.468334607651573	0.671222487481076	0.338842975206612	0.266129032258065	0.428571428571429
bgs	V2_c1	lfmm_simes	307253	132	80	52	83	121	38	0.966942148760331	0.606060606060606	0.504061839830997	0.690796159606333	0.31404958677686	0.241935483870968	0.4
bgs	V2_c1.5	lfmm_snp	1623067	1703	172	1531	164	190	26	0.994736842105263	0.100998238402819	0.0470632039263045	0.151929482083183	0.136842105263158	0.101123595505618	0.182292386049724
bgs	V2_c1.5	lfmm_simes	311536	399	27	372	167	190	23	0.994736842105263	0.0676691729323308	0.0431034482758621	0.100673742261069	0.121052631578947	0.0837981514522215	0.16000641025641
