cell	method	arm	floor	precision	recall	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi
V1_c1.5	emmax	D_stage1_consensus	5	0.147222222222222	0.10377358490566	0.0152777777777778	0.0109574810933795	0.0201810903961994
V1_c1.5	lfmm	A_unrestricted_marker	5	0.118874773139746	0.245283018867925	0.0291579632229565	0.0183424037535453	0.0421034332640979
V1_c1.5	lfmm	B_floor_filtered_marker	5	0.124724061810155	0.218867924528302	0.0272980965471282	0.0191548459538897	0.037704041223722
V1_c1.5	lfmm	C_stage1_simes	5	0.141321044546851	0.181132075471698	0.0255977741065994	0.0141189129412122	0.0388954018553969
V1_c1.5	emmax	A_unrestricted_marker	10	0.096085409252669	0.111320754716981	0.0106963002752971	0.00552708343995146	0.017720688634976
V1_c1.5	emmax	B_floor_filtered_marker	10	0.186746987951807	0.122641509433962	0.0229029324846556	0.0154953709997366	0.0312979906792895
V1_c1.5	emmax	C_stage1_simes	10	0.182203389830508	0.0867924528301887	0.0158138791173649	0.00988232446276862	0.023220131365738
V1_c1.5	emmax	D_stage1_consensus	10	0.2	0.105660377358491	0.0211320754716981	0.0137358705092357	0.0305418871175574
V1_c1.5	lfmm	A_unrestricted_marker	10	0.118874773139746	0.245283018867925	0.0291579632229565	0.0183424037535453	0.0421034332640979
V1_c1.5	lfmm	B_floor_filtered_marker	10	0.166998011928429	0.164150943396226	0.027412881203346	0.0201755413092855	0.0377252397412088
V1_c1.5	lfmm	C_stage1_simes	10	0.195187165775401	0.141509433962264	0.0276208253455756	0.0210988245761123	0.035986283706369
