cell	method	arm	floor	precision	recall	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi
V1_c1	lfmm	A_unrestricted_marker	3	0.36248012718601	0.575250836120401	0.208516996240781	0.172623641854042	0.244544548167548
V1_c1	lfmm	B_floor_filtered_marker	3	0.400402414486922	0.511705685618729	0.204888192028425	0.167137573313584	0.253665373764164
V1_c1	lfmm	C_stage1_simes	3	0.5125	0.488294314381271	0.250250836120401	0.208545420576145	0.300477522105094
V1_c1	emmax	A_unrestricted_marker	5	0.352826510721248	0.488294314381271	0.172283179148168	0.137759020017454	0.223466595559073
V1_c1	emmax	B_floor_filtered_marker	5	0.418831168831169	0.344481605351171	0.144279633410068	0.121363731759903	0.175592210751632
V1_c1	emmax	C_stage1_simes	5	0.605405405405405	0.324414715719064	0.196402422489379	0.165716585737828	0.23458712257421
V1_c1	emmax	D_stage1_consensus	5	0.5625	0.337792642140468	0.190008361204013	0.150659401911053	0.233136038466627
V1_c1	lfmm	A_unrestricted_marker	5	0.36248012718601	0.575250836120401	0.208516996240781	0.172623641854042	0.244544548167548
V1_c1	lfmm	B_floor_filtered_marker	5	0.433021806853583	0.384615384615385	0.166546848789839	0.144333363940807	0.195705471146673
V1_c1	lfmm	C_stage1_simes	5	0.559633027522936	0.367892976588629	0.205885060292719	0.178780161098661	0.246629249057176
V1_c1	emmax	A_unrestricted_marker	10	0.352826510721248	0.488294314381271	0.172283179148168	0.137759020017454	0.223466595559073
V1_c1	emmax	B_floor_filtered_marker	10	0.432098765432099	0.214046822742475	0.0924893678516867	0.0696931468836664	0.11565541998327
V1_c1	emmax	C_stage1_simes	10	0.53781512605042	0.214046822742475	0.115117618953936	0.0869452948927132	0.144665222972983
V1_c1	emmax	D_stage1_consensus	10	0.511627906976744	0.214046822742475	0.109512327914755	0.0813413704974366	0.140924432484332
V1_c1	lfmm	A_unrestricted_marker	10	0.36248012718601	0.575250836120401	0.208516996240781	0.172623641854042	0.244544548167548
V1_c1	lfmm	B_floor_filtered_marker	10	0.431952662721893	0.234113712374582	0.101126041439908	0.0698350142945271	0.138458056559424
V1_c1	lfmm	C_stage1_simes	10	0.53781512605042	0.224080267558528	0.120513757342402	0.0860791163898838	0.164170098272478
V1_c1	emmax	A_unrestricted_marker	20	0.352826510721248	0.488294314381271	0.172283179148168	0.137759020017454	0.223466595559073
V1_c1	emmax	B_floor_filtered_marker	20	0.515151515151515	0.123745819397993	0.063747846356542	0.0315307432432432	0.10936808202881
V1_c1	emmax	C_stage1_simes	20	0.563636363636364	0.123745819397993	0.0697476436606871	0.0354866236213582	0.113961521197239
V1_c1	emmax	D_stage1_consensus	20	0.55	0.127090301003344	0.0698996655518395	0.0342644907246151	0.113559687739217
