cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,recall_cap,max_recall_C,max_recall_alpha,PR_AUC_C,PR_AUC_alpha,PR_AUC_C_cs,PR_AUC_alpha_cs
V0.5_c2_env2,bgs,lfmm,1,35,316016,15249,12090,0.428571428571429,0.428571428571429,0.457142857142857,0.016423817196422,0.0204233507937343,0.016423817196422,0.0196212912550286
V0.5_c2_env2,bgs,lfmm,3,35,316016,15249,12090,0.371428571428571,0.371428571428571,0.4,0.0174104868688944,0.02488306101071,0.0174104868688944,0.0236220282957372
V0.5_c2_env2,nobgs,emmax,1,38,370792,5584,2957,0.342105263157895,0.342105263157895,0.368421052631579,0.0164443308417426,0.0119105460206596,0.0164443308417426,0.0113393859280778
V0.5_c2_env2,nobgs,emmax,3,38,370792,5584,2957,0.184210526315789,0.184210526315789,0.289473684210526,0.00720199103230121,0.0119983321640474,0.00720199103230121,0.00848336794103088
V0.5_c2_env2,nobgs,lfmm,1,38,370792,18568,14032,0.394736842105263,0.394736842105263,0.394736842105263,0.0158460727813775,0.0158544788663484,0.0158460727813775,0.0158544788663484
V0.5_c2_env2,nobgs,lfmm,3,38,370792,18568,14032,0.342105263157895,0.342105263157895,0.342105263157895,0.0415493969397694,0.0172481818824416,0.0415493969397694,0.0172481818824416
V0.5_c2_env3,bgs,emmax,1,38,312201,4433,2478,0.263157894736842,0.263157894736842,0.315789473684211,0.00922315886370968,0.0354287987755534,0.00922315886370968,0.0341926104497531
V0.5_c2_env3,bgs,emmax,3,38,312201,4433,2478,0.236842105263158,0.236842105263158,0.315789473684211,0.012525963238725,0.0223814519139613,0.012525963238725,0.0194828272688571
V0.5_c2_env3,bgs,lfmm,1,38,312201,8161,5368,0.473684210526316,0.473684210526316,0.68421052631579,0.0202319377550681,0.0223833620509499,0.0202319377550681,0.0141290972827273
V0.5_c2_env3,bgs,lfmm,3,38,312201,8161,5368,0.289473684210526,0.289473684210526,0.605263157894737,0.018728416361207,0.0276714691298895,0.018728416361207,0.0126816719324889
V0.5_c2_env3,nobgs,emmax,1,35,373584,2389,1022,0.371428571428571,0.371428571428571,0.428571428571429,0.0502786103711406,0.0235088645132739,0.0502786103711406,0.0200859180990285
V0.5_c2_env3,nobgs,emmax,3,35,373584,2389,1022,0.2,0.2,0.257142857142857,0.0315386317128477,0.0289716085915837,0.0315386317128477,0.0266239321716181
V0.5_c2_env3,nobgs,lfmm,1,35,373584,6720,3196,0.6,0.6,0.685714285714286,0.0540478606874673,0.0382799145959175,0.0540478606874673,0.0338366108825772
V0.5_c2_env3,nobgs,lfmm,3,35,373584,6720,3196,0.428571428571429,0.428571428571429,0.514285714285714,0.0727271396173929,0.0406663665501002,0.0727271396173929,0.0345199357518588
V0.5_c2_env4,bgs,emmax,1,37,314074,3411,1559,0.351351351351351,0.351351351351351,0.45945945945946,0.0188859537387791,0.0157219427800461,0.0188859537387791,0.0129013827429315
V0.5_c2_env4,bgs,emmax,3,37,314074,3411,1559,0.27027027027027,0.27027027027027,0.378378378378378,0.0175670064895563,0.0190608082961303,0.0175670064895563,0.0140984739745027
V0.5_c2_env4,bgs,lfmm,1,37,314074,5240,3836,0.486486486486487,0.513513513513514,0.486486486486487,0.0431151333831956,0.0273736827464828,0.0419306503158729,0.0273736827464828
V0.5_c2_env4,bgs,lfmm,3,37,314074,5240,3836,0.378378378378378,0.378378378378378,0.432432432432432,0.0256983349765785,0.0404020022857371,0.0256983349765785,0.0379190920233563
V0.5_c2_env4,nobgs,emmax,1,37,370248,3131,1896,0.297297297297297,0.297297297297297,0.432432432432432,0.0235985415985648,0.0176754462102648,0.0235985415985648,0.0140374168993928
V0.5_c2_env4,nobgs,emmax,3,37,370248,3131,1896,0.243243243243243,0.243243243243243,0.243243243243243,0.0448666111570362,0.0193138690465644,0.0448666111570362,0.0193138690465644
V0.5_c2_env4,nobgs,lfmm,1,37,370248,4845,3034,0.540540540540541,0.567567567567568,0.540540540540541,0.0581899220033012,0.0420777066293814,0.0568871503487707,0.0420777066293814
V0.5_c2_env4,nobgs,lfmm,3,37,370248,4845,3034,0.405405405405405,0.432432432432432,0.405405405405405,0.0340119652222116,0.0381491939607094,0.0319465925445642,0.0381491939607094
V0.5_c2_env5,bgs,emmax,1,30,310534,4776,2144,0.433333333333333,0.433333333333333,0.5,0.0251773662937267,0.0114462880059044,0.0251773662937267,0.00950213583891226
V0.5_c2_env5,bgs,emmax,3,30,310534,4776,2144,0.3,0.3,0.433333333333333,0.0272956184569919,0.0123748883068886,0.0272956184569919,0.0076920163611574
V0.5_c2_env5,bgs,lfmm,1,30,310534,7224,5528,0.466666666666667,0.466666666666667,0.533333333333333,0.041465903599275,0.0119921857328868,0.041465903599275,0.0109317344130872
V0.5_c2_env5,bgs,lfmm,3,30,310534,7224,5528,0.4,0.4,0.5,0.0244120960778617,0.0165769908551442,0.0244120960778617,0.0134123804106622
V0.5_c2_env5,nobgs,emmax,1,38,367831,3677,1457,0.289473684210526,0.289473684210526,0.394736842105263,0.0203831934672,0.0175732619743826,0.0203831934672,0.0160223117684895
V0.5_c2_env5,nobgs,emmax,3,38,367831,3677,1457,0.236842105263158,0.236842105263158,0.368421052631579,0.0461796083041912,0.0300513325359695,0.0461796083041912,0.0263317848463198
V0.5_c2_env5,nobgs,lfmm,1,38,367831,8830,4668,0.447368421052632,0.447368421052632,0.5,0.0758182802935444,0.0232159039956039,0.0758182802935444,0.0218574169403587
V0.5_c2_env5,nobgs,lfmm,3,38,367831,8830,4668,0.315789473684211,0.315789473684211,0.473684210526316,0.0556786450178251,0.0403684801287191,0.0556786450178251,0.0339229939620768
V0.5_c2_env6,bgs,emmax,1,36,314840,6553,3318,0.333333333333333,0.333333333333333,0.5,0.0307017859977249,0.0139045786440143,0.0307017859977249,0.0106088950760314
V0.5_c2_env6,bgs,emmax,3,36,314840,6553,3318,0.25,0.25,0.472222222222222,0.0226874422178232,0.0220112805432307,0.0226874422178232,0.0146451722610785
V0.5_c2_env6,bgs,lfmm,1,36,314840,10720,7773,0.472222222222222,0.472222222222222,0.555555555555556,0.0310166142608434,0.0252266583287168,0.0310166142608434,0.0232317249731532
V0.5_c2_env6,bgs,lfmm,3,36,314840,10720,7773,0.444444444444444,0.444444444444444,0.5,0.0271495443109264,0.0414259595428595,0.0271495443109264,0.0386201415658524
V0.5_c2_env6,nobgs,emmax,1,27,371205,4197,2194,0.333333333333333,0.333333333333333,0.481481481481482,0.025255456289466,0.032221626029595,0.025255456289466,0.0290533634786223
V0.5_c2_env6,nobgs,emmax,3,27,371205,4197,2194,0.333333333333333,0.333333333333333,0.37037037037037,0.0403898650022681,0.0570220960661576,0.0403898650022681,0.0559140522044906
V0.5_c2_env6,nobgs,lfmm,1,27,371205,15345,11292,0.555555555555556,0.592592592592593,0.555555555555556,0.0372013368196747,0.0233354101178025,0.0360834232169403,0.0233354101178025
V0.5_c2_env6,nobgs,lfmm,3,27,371205,15345,11292,0.481481481481482,0.481481481481482,0.481481481481482,0.0432261696321156,0.0300730423160213,0.0432261696321156,0.0300730423160213
V0.5_c2_env7,bgs,emmax,1,37,314813,2670,1568,0.297297297297297,0.297297297297297,0.405405405405405,0.0171782091538021,0.0324126796272594,0.0171782091538021,0.0296316832278581
V0.5_c2_env7,bgs,emmax,3,37,314813,2670,1568,0.27027027027027,0.27027027027027,0.324324324324324,0.0330376188166424,0.058848079577573,0.0330376188166424,0.0571171329675024
V0.5_c2_env7,bgs,lfmm,1,37,314813,8511,5842,0.432432432432432,0.432432432432432,0.513513513513514,0.0132110670986313,0.0232334560872803,0.0132110670986313,0.0215472618416417
V0.5_c2_env7,bgs,lfmm,3,37,314813,8511,5842,0.378378378378378,0.378378378378378,0.513513513513514,0.0212369871095475,0.0314523615722509,0.0212369871095475,0.0268531921377043
V0.5_c2_env7,nobgs,emmax,1,35,370652,1799,723,0.342857142857143,0.342857142857143,0.428571428571429,0.0509348898620984,0.028374377880987,0.0509348898620984,0.0262934898875675
V0.5_c2_env7,nobgs,emmax,3,35,370652,1799,723,0.2,0.2,0.4,0.064907116692831,0.0340620816383865,0.064907116692831,0.0191383219954649
V0.5_c2_env7,nobgs,lfmm,1,35,370652,6832,3930,0.4,0.4,0.457142857142857,0.05859379820938,0.0298597872715072,0.05859379820938,0.0285791266588231
V0.5_c2_env7,nobgs,lfmm,3,35,370652,6832,3930,0.257142857142857,0.257142857142857,0.4,0.0673003251562302,0.0365331738938944,0.0673003251562302,0.0318967335346646
V0.5_c2_env8,bgs,emmax,1,35,312485,6060,4015,0.314285714285714,0.314285714285714,0.371428571428571,0.0195504596777648,0.0195387689684639,0.0195504596777648,0.0187611759812766
V0.5_c2_env8,bgs,emmax,3,35,312485,6060,4015,0.257142857142857,0.257142857142857,0.342857142857143,0.0212162672030434,0.0289256513598463,0.0212162672030434,0.0264984419341302
V0.5_c2_env8,bgs,lfmm,1,35,312485,7395,4796,0.371428571428571,0.371428571428571,0.485714285714286,0.0193528399753537,0.0187167804057037,0.0193528399753537,0.0164288854659697
V0.5_c2_env8,bgs,lfmm,3,35,312485,7395,4796,0.314285714285714,0.314285714285714,0.428571428571429,0.0207906069535032,0.0247293316303712,0.0207906069535032,0.0207157342282965
