analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
snp,88,10,8,70,5,0.113636363636364,0.5,83,13,13,0.156626506024096,0.65,V0.5_c1,bgs,8,20,85372
snp_n2,76,10,6,60,3,0.131578947368421,0.5,73,13,13,0.178082191780822,0.65,V0.5_c1,bgs,8,20,85372
snp_n5,50,10,7,33,4,0.2,0.5,46,13,13,0.282608695652174,0.65,V0.5_c1,bgs,8,20,85372
simes_nosparse,14,5,2,7,1,0.357142857142857,0.25,13,6,6,0.461538461538462,0.3,V0.5_c1,bgs,8,20,85372
simes_n2_nosparse,21,5,3,13,2,0.238095238095238,0.25,19,6,6,0.315789473684211,0.3,V0.5_c1,bgs,8,20,85372
simes_n2,27,7,3,17,2,0.259259259259259,0.35,25,8,8,0.32,0.4,V0.5_c1,bgs,8,20,85372
rep,18,4,2,12,1,0.222222222222222,0.2,17,5,5,0.294117647058824,0.25,V0.5_c1,bgs,8,20,85372
simes,20,7,2,11,1,0.35,0.35,19,8,8,0.421052631578947,0.4,V0.5_c1,bgs,8,20,85372
emlg,21,5,3,13,1,0.238095238095238,0.25,20,7,7,0.35,0.35,V0.5_c1,bgs,8,20,85372
snp,10,6,0,4,0,0.6,0.315789473684211,10,6,6,0.6,0.315789473684211,V0.5_c1,bgs,9,19,85242
snp_n2,8,5,0,3,0,0.625,0.263157894736842,8,5,5,0.625,0.263157894736842,V0.5_c1,bgs,9,19,85242
snp_n5,6,5,0,1,0,0.833333333333333,0.263157894736842,6,5,5,0.833333333333333,0.263157894736842,V0.5_c1,bgs,9,19,85242
simes_nosparse,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,bgs,9,19,85242
simes_n2_nosparse,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,bgs,9,19,85242
simes_n2,2,2,0,0,0,1,0.105263157894737,2,2,2,1,0.105263157894737,V0.5_c1,bgs,9,19,85242
rep,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,bgs,9,19,85242
simes,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c1,bgs,9,19,85242
emlg,3,1,0,2,0,0.333333333333333,0.0526315789473684,3,1,1,0.333333333333333,0.0526315789473684,V0.5_c1,bgs,9,19,85242
snp,59,9,12,38,12,0.152542372881356,0.529411764705882,47,9,9,0.191489361702128,0.529411764705882,V0.5_c1,bgs,10,17,85817
snp_n2,62,9,12,41,12,0.145161290322581,0.529411764705882,50,9,9,0.18,0.529411764705882,V0.5_c1,bgs,10,17,85817
snp_n5,38,10,7,21,7,0.263157894736842,0.588235294117647,31,10,10,0.32258064516129,0.588235294117647,V0.5_c1,bgs,10,17,85817
simes_nosparse,24,9,7,8,7,0.375,0.529411764705882,17,9,9,0.529411764705882,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes_n2_nosparse,24,9,7,8,7,0.375,0.529411764705882,17,9,9,0.529411764705882,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes_n2,26,9,7,10,7,0.346153846153846,0.529411764705882,19,9,9,0.473684210526316,0.529411764705882,V0.5_c1,bgs,10,17,85817
rep,18,8,6,4,5,0.444444444444444,0.470588235294118,13,9,9,0.692307692307692,0.529411764705882,V0.5_c1,bgs,10,17,85817
simes,25,9,7,9,7,0.36,0.529411764705882,18,9,9,0.5,0.529411764705882,V0.5_c1,bgs,10,17,85817
emlg,24,9,7,8,7,0.375,0.529411764705882,17,9,9,0.529411764705882,0.529411764705882,V0.5_c1,bgs,10,17,85817
snp,47,4,1,42,0,0.0851063829787234,0.133333333333333,47,5,5,0.106382978723404,0.166666666666667,V0.5_c2,nobgs,1,30,72230
snp_n2,47,4,1,42,0,0.0851063829787234,0.133333333333333,47,5,5,0.106382978723404,0.166666666666667,V0.5_c2,nobgs,1,30,72230
snp_n5,44,3,1,40,0,0.0681818181818182,0.1,44,4,4,0.0909090909090909,0.133333333333333,V0.5_c2,nobgs,1,30,72230
simes_nosparse,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c2,nobgs,1,30,72230
simes_n2_nosparse,0,0,0,0,0,,0,0,0,0,0,0,V0.5_c2,nobgs,1,30,72230
simes_n2,11,4,0,7,0,0.363636363636364,0.133333333333333,11,4,4,0.363636363636364,0.133333333333333,V0.5_c2,nobgs,1,30,72230
rep,5,0,0,5,0,0,0,5,0,0,0,0,V0.5_c2,nobgs,1,30,72230
simes,9,2,0,7,0,0.222222222222222,0.0666666666666667,9,2,2,0.222222222222222,0.0666666666666667,V0.5_c2,nobgs,1,30,72230
emlg,16,2,0,14,0,0.125,0.0666666666666667,16,2,2,0.125,0.0666666666666667,V0.5_c2,nobgs,1,30,72230
snp,274,9,4,261,3,0.0328467153284672,0.25,271,10,11,0.03690036900369,0.305555555555556,V0.5_c2,nobgs,2,36,73046
snp_n2,254,9,4,241,3,0.0354330708661417,0.25,251,10,11,0.0398406374501992,0.305555555555556,V0.5_c2,nobgs,2,36,73046
