route,floor,R,R_ntrl,f_ntrl,cell,tag,env
cons,1,3,2,0.501990351409063,V1_c1.5,bgs,3
cons,2,7,5,0.504603504603505,V1_c1.5,bgs,3
cons,5,27,13,0.499790004199916,V1_c1.5,bgs,3
cons,8,50,27,0.500081526169901,V1_c1.5,bgs,3
best,1,25,16,0.501990351409063,V1_c1.5,bgs,3
best,2,49,26,0.504603504603505,V1_c1.5,bgs,3
best,5,116,61,0.499790004199916,V1_c1.5,bgs,3
best,8,153,87,0.500081526169901,V1_c1.5,bgs,3
simes,1,2,1,0.501990351409063,V1_c1.5,bgs,3
simes,2,2,1,0.504603504603505,V1_c1.5,bgs,3
simes,5,9,6,0.499790004199916,V1_c1.5,bgs,3
simes,8,18,9,0.500081526169901,V1_c1.5,bgs,3
cons,1,0,0,0.515311933730262,V1_c1.5,bgs,4
cons,2,2,1,0.515080038163893,V1_c1.5,bgs,4
cons,5,1,0,0.504882489241973,V1_c1.5,bgs,4
cons,8,14,4,0.496585675718596,V1_c1.5,bgs,4
best,1,3,0,0.515311933730262,V1_c1.5,bgs,4
best,2,4,1,0.515080038163893,V1_c1.5,bgs,4
best,5,49,14,0.504882489241973,V1_c1.5,bgs,4
best,8,64,20,0.496585675718596,V1_c1.5,bgs,4
simes,1,2,0,0.515311933730262,V1_c1.5,bgs,4
simes,2,2,0,0.515080038163893,V1_c1.5,bgs,4
simes,5,2,0,0.504882489241973,V1_c1.5,bgs,4
simes,8,2,0,0.496585675718596,V1_c1.5,bgs,4
cons,1,0,0,0.509818681246121,V1_c1.5,bgs,5
cons,2,6,2,0.511751448808757,V1_c1.5,bgs,5
cons,5,19,7,0.513194788058717,V1_c1.5,bgs,5
cons,8,21,7,0.511428571428572,V1_c1.5,bgs,5
best,1,23,9,0.509818681246121,V1_c1.5,bgs,5
best,2,55,23,0.511751448808757,V1_c1.5,bgs,5
best,5,102,42,0.513194788058717,V1_c1.5,bgs,5
best,8,131,63,0.511428571428572,V1_c1.5,bgs,5
simes,1,2,2,0.509818681246121,V1_c1.5,bgs,5
simes,2,1,1,0.511751448808757,V1_c1.5,bgs,5
simes,5,12,4,0.513194788058717,V1_c1.5,bgs,5
simes,8,10,3,0.511428571428572,V1_c1.5,bgs,5
cons,1,6,1,0.523715523386522,V1_c1.5,nobgs,1
cons,2,7,0,0.522069197178368,V1_c1.5,nobgs,1
cons,5,17,1,0.525653174495736,V1_c1.5,nobgs,1
cons,8,15,1,0.525735294117647,V1_c1.5,nobgs,1
best,1,23,5,0.523715523386522,V1_c1.5,nobgs,1
best,2,25,4,0.522069197178368,V1_c1.5,nobgs,1
best,5,48,15,0.525653174495736,V1_c1.5,nobgs,1
best,8,41,12,0.525735294117647,V1_c1.5,nobgs,1
simes,1,6,1,0.523715523386522,V1_c1.5,nobgs,1
simes,2,6,0,0.522069197178368,V1_c1.5,nobgs,1
simes,5,16,1,0.525653174495736,V1_c1.5,nobgs,1
simes,8,13,0,0.525735294117647,V1_c1.5,nobgs,1
cons,1,34,11,0.518673917544873,V1_c1.5,nobgs,2
cons,2,53,20,0.517071874584828,V1_c1.5,nobgs,2
cons,5,45,17,0.517053387407752,V1_c1.5,nobgs,2
cons,8,43,15,0.51993002624016,V1_c1.5,nobgs,2
best,1,104,37,0.518673917544873,V1_c1.5,nobgs,2
best,2,136,49,0.517071874584828,V1_c1.5,nobgs,2
best,5,154,62,0.517053387407752,V1_c1.5,nobgs,2
best,8,142,61,0.51993002624016,V1_c1.5,nobgs,2
simes,1,18,5,0.518673917544873,V1_c1.5,nobgs,2
simes,2,31,8,0.517071874584828,V1_c1.5,nobgs,2
simes,5,32,8,0.517053387407752,V1_c1.5,nobgs,2
simes,8,38,9,0.51993002624016,V1_c1.5,nobgs,2
cons,1,9,1,0.527397260273973,V1_c1.5,nobgs,3
cons,2,12,1,0.527159634428401,V1_c1.5,nobgs,3
cons,5,19,2,0.532365145228216,V1_c1.5,nobgs,3
cons,8,21,4,0.528432914046122,V1_c1.5,nobgs,3
best,1,12,1,0.527397260273973,V1_c1.5,nobgs,3
best,2,26,3,0.527159634428401,V1_c1.5,nobgs,3
best,5,64,17,0.532365145228216,V1_c1.5,nobgs,3
best,8,72,17,0.528432914046122,V1_c1.5,nobgs,3
simes,1,8,1,0.527397260273973,V1_c1.5,nobgs,3
simes,2,8,0,0.527159634428401,V1_c1.5,nobgs,3
simes,5,10,0,0.532365145228216,V1_c1.5,nobgs,3
simes,8,13,0,0.528432914046122,V1_c1.5,nobgs,3
cons,1,0,0,0.518414006865675,V1_c1.5,nobgs,4
cons,2,3,2,0.519601658255227,V1_c1.5,nobgs,4
cons,5,4,2,0.523370771403591,V1_c1.5,nobgs,4
cons,8,6,2,0.529098516546215,V1_c1.5,nobgs,4
best,1,6,1,0.518414006865675,V1_c1.5,nobgs,4
best,2,11,2,0.519601658255227,V1_c1.5,nobgs,4
best,5,23,6,0.523370771403591,V1_c1.5,nobgs,4
best,8,32,8,0.529098516546215,V1_c1.5,nobgs,4
simes,1,0,0,0.518414006865675,V1_c1.5,nobgs,4
simes,2,3,0,0.519601658255227,V1_c1.5,nobgs,4
simes,5,2,0,0.523370771403591,V1_c1.5,nobgs,4
simes,8,1,0,0.529098516546215,V1_c1.5,nobgs,4
cons,1,3,1,0.522380642097474,V1_c1.5,nobgs,5
cons,2,4,1,0.519948866312319,V1_c1.5,nobgs,5
cons,5,3,0,0.514247130317353,V1_c1.5,nobgs,5
cons,8,4,0,0.515556666250156,V1_c1.5,nobgs,5
best,1,6,2,0.522380642097474,V1_c1.5,nobgs,5
best,2,8,4,0.519948866312319,V1_c1.5,nobgs,5
best,5,33,12,0.514247130317353,V1_c1.5,nobgs,5
best,8,39,14,0.515556666250156,V1_c1.5,nobgs,5
simes,1,0,0,0.522380642097474,V1_c1.5,nobgs,5
simes,2,2,1,0.519948866312319,V1_c1.5,nobgs,5
simes,5,1,0,0.514247130317353,V1_c1.5,nobgs,5
simes,8,1,0,0.515556666250156,V1_c1.5,nobgs,5
cons,1,5,0,0.5102031515262,V2_c1,bgs,1
cons,2,2,0,0.51090014925008,V2_c1,bgs,1
cons,5,3,0,0.50517848164907,V2_c1,bgs,1
cons,8,3,0,0.50962441314554,V2_c1,bgs,1
best,1,7,1,0.5102031515262,V2_c1,bgs,1
best,2,4,1,0.51090014925008,V2_c1,bgs,1
best,5,4,0,0.50517848164907,V2_c1,bgs,1
best,8,4,0,0.50962441314554,V2_c1,bgs,1
simes,1,6,1,0.5102031515262,V2_c1,bgs,1
simes,2,3,1,0.51090014925008,V2_c1,bgs,1
simes,5,3,0,0.50517848164907,V2_c1,bgs,1
simes,8,3,0,0.50962441314554,V2_c1,bgs,1
cons,1,17,6,0.513084282876259,V2_c1,bgs,2
cons,2,16,6,0.511071376083868,V2_c1,bgs,2
cons,5,7,3,0.506813627254509,V2_c1,bgs,2
cons,8,5,2,0.51027951027951,V2_c1,bgs,2
best,1,26,9,0.513084282876259,V2_c1,bgs,2
best,2,37,15,0.511071376083868,V2_c1,bgs,2
best,5,20,9,0.506813627254509,V2_c1,bgs,2
best,8,16,8,0.51027951027951,V2_c1,bgs,2
