tau,lmin,p_null_any,p_null_lo,p_null_hi,k_null,mean_null_regions,q50_null_regions,q90_null_regions,q95_null_regions,q99_null_regions,max_null_regions,mean_null_markers,mean_null_coverage,n_obs_regions,n_obs_markers,obs_coverage
0.12,5,0.13,0.0867083527685753,0.184652330523413,26,0.79,0,1,2,20.1399999999999,41,15.295,0.00135726328866803,3,59,0.00523560209424084
0.12,10,0.065,0.0350607086569791,0.108587236503815,13,0.265,0,0,1,7.02999999999997,13,11.845,0.00105111367468276,2,51,0.0045256899458692
0.12,15,0.045,0.0207804222270043,0.083702688075854,9,0.125,0,0,0,2.03999999999996,10,10.295,0.000913568195935753,1,41,0.00363829976040465
0.12,20,0.04,0.0174248089944806,0.077291968226016,8,0.09,0,0,0,2.02999999999997,6,9.71,0.000861655870086077,1,41,0.00363829976040465
0.14,1,0.575,0.50330413183481,0.644438822741295,115,8.2,1,14.1,31.1,203.19,255,23.85,0.00211642559233295,30,85,0.00754281657644867
0.14,2,0.33,0.265298203472561,0.399829260333055,66,2.62,0,3,7.19999999999993,79.1999999999998,109,18.27,0.00162126186884373,11,66,0.00585677522406602
0.14,3,0.215,0.160181695332336,0.278471043884057,43,1.485,0,2,3.04999999999998,40.2099999999998,73,16,0.00141982429674328,6,56,0.00496938503860147
0.14,5,0.13,0.0867083527685753,0.184652330523413,26,0.745,0,1,1.04999999999998,19.1299999999999,41,13.555,0.0012028573963972,2,43,0.00381577779749756
0.14,10,0.065,0.0350607086569791,0.108587236503815,13,0.25,0,0,1,7.02999999999997,13,10.285,0.000912680805750288,1,36,0.00319460466767238
0.14,15,0.04,0.0174248089944806,0.077291968226016,8,0.11,0,0,0,2.02999999999997,9,8.685,0.000770698376075961,1,36,0.00319460466767238
0.14,20,0.04,0.0174248089944806,0.077291968226016,8,0.085,0,0,0,2.01999999999998,6,8.28,0.000734759073564646,1,36,0.00319460466767238
0.16,1,0.56,0.488250269074697,0.629944420660956,112,7.82,1,13,29,198.23,247,22.35,0.00198331706451327,25,77,0.00683290442807703
0.16,2,0.33,0.265298203472561,0.399829260333055,66,2.49,0,3,7.04999999999998,77.1899999999998,105,17.02,0.00151033809566066,10,62,0.0055018191498802
0.16,3,0.215,0.160181695332336,0.278471043884057,43,1.425,0,1.09999999999999,3.04999999999998,39.1899999999998,69,14.89,0.00132132398615671,6,54,0.00479190700150856
0.16,5,0.125,0.0825523418288169,0.178973750078799,25,0.705,0,1,1.04999999999998,19.1299999999999,39,12.49,0.00110835034164522,2,41,0.00363829976040465
0.16,10,0.065,0.0350607086569791,0.108587236503815,13,0.25,0,0,1,7.02999999999997,13,9.54,0.000846570236933179,1,34,0.00301712663057947
0.16,15,0.04,0.0174248089944806,0.077291968226016,8,0.105,0,0,0,2.02999999999997,8,7.925,0.000703256721980655,1,34,0.00301712663057947
0.16,20,0.035,0.0141855258984192,0.0707809983509773,7,0.08,0,0,0,2.01999999999998,6,7.51,0.000666430029283876,1,34,0.00301712663057947
0.18,1,0.545,0.473259247518988,0.615386957961083,109,7.425,1,12.1,28.05,193.22,237,20.885,0.00185331440234271,25,69,0.00612299227970539
0.18,2,0.325,0.260625514753615,0.394653706304808,65,2.42,0,3,7.04999999999998,78.1299999999999,104,15.88,0.0014091756145177,9,53,0.00470316798296211
0.18,3,0.205,0.151310571995519,0.267653920785285,41,1.38,0,1.09999999999999,3.04999999999998,39.1699999999998,69,13.8,0.00122459845594108,5,45,0.00399325583459047
0.18,5,0.12,0.0784202479963627,0.173272351164122,24,0.675,0,1,1.04999999999998,18.1399999999999,37,11.46,0.00101694915254237,2,35,0.00310586564912592
0.18,10,0.06,0.0313839538934835,0.102461831308324,12,0.24,0,0,1,7.02999999999997,12,8.67,0.000769367290797764,1,29,0.00257343153784719
0.18,15,0.04,0.0174248089944806,0.077291968226016,8,0.1,0,0,0,2.02999999999997,8,7.12,0.000631821812050759,1,29,0.00257343153784719
0.18,20,0.03,0.0110874556722548,0.064150626705027,6,0.075,0,0,0,2.01999999999998,6,6.695,0.000594107729168516,1,29,0.00257343153784719
0.2,1,0.535,0.463299857788321,0.605647264738543,107,7.03,1,12.1,24.1999999999999,188.19,232,19.465,0.00172730499600674,23,58,0.00514686307569438
0.2,2,0.305,0.242019437023591,0.37386780453377,61,2.305,0,3,7,74.1599999999999,101,14.74,0.00130801313337475,9,44,0.00390451681604401
0.2,3,0.2,0.146894488215759,0.2622263645896,40,1.33,0,1,3.04999999999998,39.1499999999999,67,12.79,0.00113497204720916,4,34,0.00301712663057947
0.2,5,0.12,0.0784202479963627,0.173272351164122,24,0.66,0,1,1,17.1399999999999,37,10.57,0.000937971426036028,2,28,0.00248469251930074
0.2,10,0.06,0.0313839538934835,0.102461831308324,12,0.225,0,0,1,7.02999999999997,11,7.805,0.00069260803975508,1,22,0.00195225840802201
0.2,15,0.04,0.0174248089944806,0.077291968226016,8,0.1,0,0,0,2.02999999999997,8,6.445,0.000571922974531902,1,22,0.00195225840802201
0.2,20,0.03,0.0110874556722548,0.064150626705027,6,0.065,0,0,0,2.01999999999998,4,5.835,0.000517792173218564,1,22,0.00195225840802201
