analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
simes_n2,49,3,2,44,2,0.0612244897959184,0.272727272727273,47,3,3,0.0638297872340426,0.272727272727273,V2_c1,nobgs,6,11,105361
rep,42,2,1,39,1,0.0476190476190476,0.181818181818182,41,2,2,0.0487804878048781,0.181818181818182,V2_c1,nobgs,6,11,105361
simes,51,3,1,47,1,0.0588235294117647,0.272727272727273,50,3,3,0.06,0.272727272727273,V2_c1,nobgs,6,11,105361
emlg,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,6,11,105361
snp,6,3,2,1,2,0.5,0.2,4,3,3,0.75,0.2,V2_c1,nobgs,7,15,103638
snp_n2,6,3,2,1,2,0.5,0.2,4,3,3,0.75,0.2,V2_c1,nobgs,7,15,103638
snp_n5,6,3,2,1,2,0.5,0.2,4,3,3,0.75,0.2,V2_c1,nobgs,7,15,103638
simes_only_sparse,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,7,15,103638
simes_only_longdense,3,1,0,2,0,0.333333333333333,0.0666666666666667,3,1,1,0.333333333333333,0.0666666666666667,V2_c1,nobgs,7,15,103638
simes_nosparse,1,1,0,0,0,1,0.0666666666666667,1,1,1,1,0.0666666666666667,V2_c1,nobgs,7,15,103638
simes_n2_nosparse,2,1,0,1,0,0.5,0.0666666666666667,2,1,1,0.5,0.0666666666666667,V2_c1,nobgs,7,15,103638
simes_n2,2,1,0,1,0,0.5,0.0666666666666667,2,1,1,0.5,0.0666666666666667,V2_c1,nobgs,7,15,103638
rep,1,1,0,0,0,1,0.0666666666666667,1,1,1,1,0.0666666666666667,V2_c1,nobgs,7,15,103638
simes,1,1,0,0,0,1,0.0666666666666667,1,1,1,1,0.0666666666666667,V2_c1,nobgs,7,15,103638
emlg,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,7,15,103638
snp,93,8,3,82,3,0.0860215053763441,0.5,90,8,8,0.0888888888888889,0.5,V2_c1,nobgs,8,16,104276
snp_n2,76,8,2,66,2,0.105263157894737,0.5,74,8,8,0.108108108108108,0.5,V2_c1,nobgs,8,16,104276
snp_n5,44,8,3,33,3,0.181818181818182,0.5,41,8,8,0.195121951219512,0.5,V2_c1,nobgs,8,16,104276
simes_only_sparse,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,8,16,104276
simes_only_longdense,9,5,0,4,0,0.555555555555556,0.3125,9,5,5,0.555555555555556,0.3125,V2_c1,nobgs,8,16,104276
simes_nosparse,17,5,0,12,0,0.294117647058824,0.3125,17,5,5,0.294117647058824,0.3125,V2_c1,nobgs,8,16,104276
